,Total,"Less than $10,000:","Less than $10,000:!!With a broadband Internet subscription","$10,000 to $19,999:","$10,000 to $19,999:!!With a broadband Internet subscription","$20,000 to $34,999:","$20,000 to $34,999:!!With a broadband Internet subscription","$35,000 to $49,999:","$35,000 to $49,999:!!With a broadband Internet subscription","$50,000 to $74,999:","$50,000 to $74,999:!!With a broadband Internet subscription","$75,000 or more:","$75,000 or more:!!With a broadband Internet subscription"
"Albany County, New York: Summary level: 050, state:36> county:001",123862,8025,4006,12614,7362,18541,11287,13958,10469,23145,19315,47579,43375
"Bronx County, New York: Summary level: 050, state:36> county:005",495513,81612,34694,82582,43658,82645,53854,65388,46212,76982,61516,106304,94701
"Broome County, New York: Summary level: 050, state:36> county:007",78398,6264,3709,10498,6112,13616,9480,10926,8726,14033,11394,23061,20963
"Cattaraugus County, New York: Summary level: 050, state:36> county:009",31174,2454,990,4482,2059,6898,3472,4202,2883,6580,4950,6558,5612
"Cayuga County, New York: Summary level: 050, state:36> county:011",31368,1248,672,3090,1740,5347,3238,4923,3627,6792,5142,9968,9061
"Chautauqua County, New York: Summary level: 050, state:36> county:013",51579,4330,2021,7023,3245,9103,5630,8203,5980,9618,7423,13302,11874
"Chemung County, New York: Summary level: 050, state:36> county:015",34546,2631,1122,3255,1189,5507,3496,4515,3549,8091,6418,10547,9584
"Clinton County, New York: Summary level: 050, state:36> county:019",31249,2444,1248,4036,1710,5449,3393,5181,4118,6030,5218,8109,7026
"Dutchess County, New York: Summary level: 050, state:36> county:027",106319,5924,3640,7352,4681,12615,8966,10747,8711,18227,15464,51454,47862
"Erie County, New York: Summary level: 050, state:36> county:029",383099,33203,13892,43648,19575,56937,33220,48378,34312,63584,51159,137349,125466
"Jefferson County, New York: Summary level: 050, state:36> county:045",43145,2745,1513,3960,2221,7862,5824,6477,5054,8972,7686,13129,12170
"Kings County, New York: Summary level: 050, state:36> county:047",940176,101679,44945,114172,60808,137245,90163,105797,79393,145607,118782,335676,305465
"Livingston County, New York: Summary level: 050, state:36> county:051",24189,1358,458,3009,1665,3241,2116,3450,2650,4492,3447,8639,7725
"Madison County, New York: Summary level: 050, state:36> county:053",26305,1785,918,1939,1034,3412,2661,2772,2124,5787,5110,10610,9293
"Monroe County, New York: Summary level: 050, state:36> county:055",298151,23523,12551,29711,14784,42518,27277,43187,33253,50850,44187,108362,102666
"Nassau County, New York: Summary level: 050, state:36> county:059",436567,13060,8107,20925,10668,33068,21408,35513,28608,57928,51262,276073,260520
"New York County, New York: Summary level: 050, state:36> county:061",751244,66746,35751,72771,38188,75808,52606,60190,45658,97594,82517,378135,351758
"Niagara County, New York: Summary level: 050, state:36> county:063",84893,6523,3483,10453,5488,14353,9336,11844,8500,14968,11995,26752,24676
"Oneida County, New York: Summary level: 050, state:36> county:065",90396,7179,3211,10687,5121,15242,10390,13047,9724,17221,13457,27020,24582
"Onondaga County, New York: Summary level: 050, state:36> county:067",182581,13529,6465,17290,8462,25170,16958,24162,17827,33294,28163,69136,64899
"Ontario County, New York: Summary level: 050, state:36> county:069",43692,1928,852,3683,1732,6553,4188,6773,5421,7547,6379,17208,16225
"Orange County, New York: Summary level: 050, state:36> county:071",125470,6384,2393,8378,3004,14947,6754,13341,8940,20874,15860,61546,52701
"Oswego County, New York: Summary level: 050, state:36> county:075",45115,3323,1423,4387,2405,7484,4496,7477,6424,9289,8091,13155,12042
"Putnam County, New York: Summary level: 050, state:36> county:079",34181,1205,1069,1665,1077,3243,2494,2437,2224,5252,4565,20379,19191
"Queens County, New York: Summary level: 050, state:36> county:081",774752,51225,28475,67738,36730,107713,75067,97807,74505,141571,119566,308698,282890
"Rensselaer County, New York: Summary level: 050, state:36> county:083",62585,3621,1446,5201,2536,9698,6814,7307,5507,11998,10846,24760,23303
"Richmond County, New York: Summary level: 050, state:36> county:085",167462,15945,8971,13522,7910,15541,10239,16422,12848,25968,21653,80064,73926
"Rockland County, New York: Summary level: 050, state:36> county:087",99875,3999,1892,7852,3524,10733,5309,9150,6450,12605,9934,55536,50147
"St. Lawrence County, New York: Summary level: 050, state:36> county:089",42771,3987,2440,5331,3034,8329,5331,6468,4741,7261,6332,11395,10606
"Saratoga County, New York: Summary level: 050, state:36> county:091",90999,2451,1559,5976,3570,7596,5198,10514,8135,18492,16734,45970,44756
"Schenectady County, New York: Summary level: 050, state:36> county:093",52514,2633,945,4561,2195,6526,3807,7561,5803,9540,7880,21693,20467
"Steuben County, New York: Summary level: 050, state:36> county:101",39517,2742,879,5431,2355,6871,3623,5506,3164,7256,5411,11711,10241
"Suffolk County, New York: Summary level: 050, state:36> county:103",481796,17786,11182,25673,13040,46896,32350,43052,34328,69951,59987,278438,257835
"Sullivan County, New York: Summary level: 050, state:36> county:105",28394,2055,1061,3215,1580,4741,2938,3833,2918,5274,4053,9276,8219
"Tompkins County, New York: Summary level: 050, state:36> county:109",38112,3295,2349,4052,2550,5302,3135,3681,3289,7690,6511,14092,13190
"Ulster County, New York: Summary level: 050, state:36> county:111",69594,4520,2855,6714,3742,9733,6228,9383,7136,12593,10555,26651,24895
"Warren County, New York: Summary level: 050, state:36> county:113",24222,1478,1014,2273,1104,3884,2622,3055,2318,4782,4056,8750,8568
"Wayne County, New York: Summary level: 050, state:36> county:117",35841,1837,862,3425,1381,6742,3800,5720,3955,6793,5287,11324,10088
"Westchester County, New York: Summary level: 050, state:36> county:119",338319,20010,9886,22923,10769,36134,23727,28046,21044,44354,36784,186852,176378
