,Total,"Less than $10,000:","Less than $10,000:!!With a broadband Internet subscription","$10,000 to $19,999:","$10,000 to $19,999:!!With a broadband Internet subscription","$20,000 to $34,999:","$20,000 to $34,999:!!With a broadband Internet subscription","$35,000 to $49,999:","$35,000 to $49,999:!!With a broadband Internet subscription","$50,000 to $74,999:","$50,000 to $74,999:!!With a broadband Internet subscription","$75,000 or more:","$75,000 or more:!!With a broadband Internet subscription"
"Malverne village, New York: Summary level: 160, state:36> place:44787",3108,69,60,95,35,159,93,186,148,454,405,2145,2048
"Plandome village, New York: Summary level: 160, state:36> place:58475",395,0,0,6,6,2,2,15,12,38,36,334,324
"New Square village, New York: Summary level: 160, state:36> place:50705",1431,140,0,428,10,434,67,106,7,129,16,194,27
"South Nyack village, New York: Summary level: 160, state:36> place:69441",1163,9,0,54,12,99,61,152,81,171,165,678,648
"Viola CDP, New York: Summary level: 160, state:36> place:77574",1729,74,74,226,55,233,146,220,97,151,75,825,743
"Gouverneur village, New York: Summary level: 160, state:36> place:29597",1721,79,54,440,241,334,267,365,334,210,163,293,293
"Rensselaer Falls village, New York: Summary level: 160, state:36> place:61159",127,11,5,24,14,15,10,17,9,19,19,41,38
"Newark village, New York: Summary level: 160, state:36> place:49891",3816,193,97,483,154,858,577,611,522,757,640,914,825
"Elmira city, New York: Summary level: 160, state:36> place:24229",9931,1386,590,1656,781,2056,1501,1214,1019,1622,1338,1997,1783
"Van Etten village, New York: Summary level: 160, state:36> place:76881",209,4,2,22,5,37,16,34,29,41,37,71,69
"West Elmira CDP, New York: Summary level: 160, state:36> place:79785",2204,81,81,136,67,170,114,308,197,524,445,985,973
"Mount Morris village, New York: Summary level: 160, state:36> place:48945",1224,122,83,205,122,214,150,182,123,228,172,273,236
"Corfu village, New York: Summary level: 160, state:36> place:18201",309,29,17,37,15,34,24,43,31,65,56,101,99
"Sodus village, New York: Summary level: 160, state:36> place:68209",694,65,45,103,27,158,140,118,89,109,98,141,129
"Ogdensburg city, New York: Summary level: 160, state:36> place:54485",4029,254,131,812,529,656,408,564,424,638,533,1105,1059
"Waddington village, New York: Summary level: 160, state:36> place:77728",450,11,11,104,71,69,58,66,51,36,30,164,160
"Clyde village, New York: Summary level: 160, state:36> place:16573",746,66,51,31,5,188,132,113,98,156,113,192,192
"Big Flats CDP, New York: Summary level: 160, state:36> place:06464",2179,83,67,16,16,209,180,263,232,440,408,1168,1120
"Geneseo village, New York: Summary level: 160, state:36> place:28618",1922,329,274,389,339,296,237,271,235,209,201,428,394
"Miller Place CDP, New York: Summary level: 160, state:36> place:47306",3820,87,87,126,67,166,95,207,188,539,436,2695,2604
"Addison village, New York: Summary level: 160, state:36> place:00276",658,34,12,91,37,97,78,80,65,102,66,254,234
"Hornell city, New York: Summary level: 160, state:36> place:35672",3358,243,147,550,268,598,454,586,481,709,571,672,624
"Riverside village, New York: Summary level: 160, state:36> place:62061",240,9,5,34,8,42,37,55,45,37,33,63,54
"Cold Spring village, New York: Summary level: 160, state:36> place:16936",871,29,24,53,35,102,77,84,61,101,81,502,484
"Lake Carmel CDP, New York: Summary level: 160, state:36> place:40398",3069,20,20,164,125,244,192,366,309,557,395,1718,1579
"Putnam Lake CDP, New York: Summary level: 160, state:36> place:60103",1287,27,0,33,8,73,58,117,83,256,224,781,753
"Port Byron village, New York: Summary level: 160, state:36> place:59212",408,15,3,40,12,108,81,29,26,88,88,128,112
"Au Sable Forks CDP, New York: Summary level: 160, state:36> place:03254",170,7,7,13,0,22,19,35,31,27,17,66,66
"Cumberland Head CDP, New York: Summary level: 160, state:36> place:19408",688,8,0,76,28,50,33,108,99,190,147,256,240
"Redford CDP, New York: Summary level: 160, state:36> place:60884",141,14,14,49,49,16,0,0,0,48,48,14,9
"Bemus Point village, New York: Summary level: 160, state:36> place:05848",183,7,1,39,18,34,30,27,3,21,18,55,35
"Brocton village, New York: Summary level: 160, state:36> place:08488",649,48,34,105,36,142,47,132,99,127,97,95,78
"Frewsburg CDP, New York: Summary level: 160, state:36> place:27672",728,0,0,96,79,101,51,139,107,110,79,282,282
"Ripley CDP, New York: Summary level: 160, state:36> place:61874",339,30,9,66,62,85,39,24,24,72,61,62,58
"Freeville village, New York: Summary level: 160, state:36> place:27529",194,18,10,20,9,33,20,22,12,36,33,65,65
"Newfield Hamlet CDP, New York: Summary level: 160, state:36> place:50257",280,15,0,18,0,117,32,17,17,0,0,113,113
"Trumansburg village, New York: Summary level: 160, state:36> place:75506",849,23,13,49,14,159,122,115,91,148,140,355,330
"Penn Yan village, New York: Summary level: 160, state:36> place:57177",1985,214,85,370,138,435,298,215,193,252,248,499,464
"Lewiston village, New York: Summary level: 160, state:36> place:42147",1378,47,47,190,36,247,140,232,162,249,205,413,371
"South Lockport CDP, New York: Summary level: 160, state:36> place:69386",3255,202,131,530,277,538,401,575,447,519,386,891,822
"Youngstown village, New York: Summary level: 160, state:36> place:84143",802,46,12,46,12,101,81,92,72,150,101,367,349
