,Population in Househol!!Total,Population in Househol!!In family households,Population in Househol!!In nonfamily households
"Alden village, New York: Summary level: 160, state:36> place:01088",2592,2118,474
"Alexander village, New York: Summary level: 160, state:36> place:01154",568,507,61
"Alexandria Bay village, New York: Summary level: 160, state:36> place:01187",954,626,328
"Alfred village, New York: Summary level: 160, state:36> place:01198",823,324,499
"Allegany village, New York: Summary level: 160, state:36> place:01286",1669,1127,542
"Almond village, New York: Summary level: 160, state:36> place:01440",507,457,50
"Altamont village, New York: Summary level: 160, state:36> place:01517",1497,1227,270
"Altmar village, New York: Summary level: 160, state:36> place:01550",361,308,53
"Altona CDP, New York: Summary level: 160, state:36> place:01572",259,195,64
"Amagansett CDP, New York: Summary level: 160, state:36> place:01594",1025,782,243
"Amenia CDP, New York: Summary level: 160, state:36> place:01682",1260,1110,150
"Ames village, New York: Summary level: 160, state:36> place:01737",190,175,15
"Amityville village, New York: Summary level: 160, state:36> place:02044",8928,7454,1474
"Amsterdam city, New York: Summary level: 160, state:36> place:02066",18144,14209,3935
"Andes CDP, New York: Summary level: 160, state:36> place:02121",216,185,31
"Andover village, New York: Summary level: 160, state:36> place:02143",835,624,211
"Angelica village, New York: Summary level: 160, state:36> place:02176",919,819,100
"Angola village, New York: Summary level: 160, state:36> place:02198",1851,1554,297
"Angola on the Lake CDP, New York: Summary level: 160, state:36> place:02220",1420,1146,274
"Antwerp village, New York: Summary level: 160, state:36> place:02286",556,488,68
"Apalachin CDP, New York: Summary level: 160, state:36> place:02308",1457,1208,249
"Aquebogue CDP, New York: Summary level: 160, state:36> place:02374",2234,2039,195
"Arcade village, New York: Summary level: 160, state:36> place:02407",1961,1551,410
"Ardsley village, New York: Summary level: 160, state:36> place:02506",4451,4068,383
"Argyle village, New York: Summary level: 160, state:36> place:02550",293,217,76
"Arkport village, New York: Summary level: 160, state:36> place:02583",906,793,113
"Arlington CDP, New York: Summary level: 160, state:36> place:02616",3302,2639,663
"Armonk CDP, New York: Summary level: 160, state:36> place:02649",4500,4293,207
"Asharoken village, New York: Summary level: 160, state:36> place:02737",610,560,50
"Athens village, New York: Summary level: 160, state:36> place:02902",1431,1096,335
"Atlantic Beach village, New York: Summary level: 160, state:36> place:02968",1617,1338,279
"Attica village, New York: Summary level: 160, state:36> place:03001",2707,2132,575
"Auburn city, New York: Summary level: 160, state:36> place:03078",25225,19187,6038
"Aurora village, New York: Summary level: 160, state:36> place:03188",335,286,49
"Au Sable Forks CDP, New York: Summary level: 160, state:36> place:03254",423,340,83
"Averill Park CDP, New York: Summary level: 160, state:36> place:03320",1688,1588,100
"Avoca village, New York: Summary level: 160, state:36> place:03331",948,825,123
"Avon village, New York: Summary level: 160, state:36> place:03353",3325,2845,480
"Babylon village, New York: Summary level: 160, state:36> place:03408",12053,10109,1944
