,Population in Househol!!Total,Population in Househol!!In family households,Population in Househol!!In nonfamily households
"Albany County, New York: Summary level: 050, state:36> county:001",289274,215256,74018
"Bronx County, New York: Summary level: 050, state:36> county:005",1374742,1175182,199560
"Broome County, New York: Summary level: 050, state:36> county:007",186808,147335,39473
"Cattaraugus County, New York: Summary level: 050, state:36> county:009",76110,61229,14881
"Cayuga County, New York: Summary level: 050, state:36> county:011",75764,61256,14508
"Chautauqua County, New York: Summary level: 050, state:36> county:013",126604,99022,27582
"Chemung County, New York: Summary level: 050, state:36> county:015",83658,65693,17965
"Clinton County, New York: Summary level: 050, state:36> county:019",73742,59730,14012
"Dutchess County, New York: Summary level: 050, state:36> county:027",278663,234207,44456
"Erie County, New York: Summary level: 050, state:36> county:029",891942,705392,186550
"Jefferson County, New York: Summary level: 050, state:36> county:045",113312,97031,16281
"Kings County, New York: Summary level: 050, state:36> county:047",2551419,2094457,456962
"Livingston County, New York: Summary level: 050, state:36> county:051",58598,47188,11410
"Madison County, New York: Summary level: 050, state:36> county:053",66953,54525,12428
"Monroe County, New York: Summary level: 050, state:36> county:055",723270,575023,148247
"Nassau County, New York: Summary level: 050, state:36> county:059",1331178,1201516,129662
"New York County, New York: Summary level: 050, state:36> county:061",1565422,971662,593760
"Niagara County, New York: Summary level: 050, state:36> county:063",210167,168996,41171
"Oneida County, New York: Summary level: 050, state:36> county:065",219520,173837,45683
"Onondaga County, New York: Summary level: 050, state:36> county:067",450866,361145,89721
"Ontario County, New York: Summary level: 050, state:36> county:069",105443,88616,16827
"Orange County, New York: Summary level: 050, state:36> county:071",364030,321781,42249
"Oswego County, New York: Summary level: 050, state:36> county:075",116565,97414,19151
"Putnam County, New York: Summary level: 050, state:36> county:079",97140,89469,7671
"Queens County, New York: Summary level: 050, state:36> county:081",2269656,1926148,343508
"Rensselaer County, New York: Summary level: 050, state:36> county:083",153847,124615,29232
"Richmond County, New York: Summary level: 050, state:36> county:085",465502,412941,52561
"Rockland County, New York: Summary level: 050, state:36> county:087",313698,282920,30778
"St. Lawrence County, New York: Summary level: 050, state:36> county:089",100538,81188,19350
"Saratoga County, New York: Summary level: 050, state:36> county:091",219331,180050,39281
"Schenectady County, New York: Summary level: 050, state:36> county:093",151276,123383,27893
"Steuben County, New York: Summary level: 050, state:36> county:101",96897,80209,16688
"Suffolk County, New York: Summary level: 050, state:36> county:103",1467138,1308871,158267
"Sullivan County, New York: Summary level: 050, state:36> county:105",72213,58273,13940
"Tompkins County, New York: Summary level: 050, state:36> county:109",89824,62535,27289
"Ulster County, New York: Summary level: 050, state:36> county:111",169537,136930,32607
"Warren County, New York: Summary level: 050, state:36> county:113",64537,51858,12679
"Wayne County, New York: Summary level: 050, state:36> county:117",90636,75339,15297
"Westchester County, New York: Summary level: 050, state:36> county:119",941546,817312,124234
