,Total households
"Greece CDP, New York: Summary level: 160, state:36> place:30279",6292
"Greene village, New York: Summary level: 160, state:36> place:30411",709
"Green Island village, New York: Summary level: 160, state:36> place:30521",1026
"Greenlawn CDP, New York: Summary level: 160, state:36> place:30543",4615
"Greenport village, New York: Summary level: 160, state:36> place:30576",917
"Greenport West CDP, New York: Summary level: 160, state:36> place:30581",887
"Greenvale CDP, New York: Summary level: 160, state:36> place:30598",296
"Greenville CDP (Greene County), New York: Summary level: 160, state:36> place:30609",330
"Greenville CDP (Westchester County), New York: Summary level: 160, state:36> place:30642",2339
"Greenwich village, New York: Summary level: 160, state:36> place:30675",843
"Greenwood Lake village, New York: Summary level: 160, state:36> place:30752",1195
"Greigsville CDP, New York: Summary level: 160, state:36> place:30807",85
"Groton village, New York: Summary level: 160, state:36> place:30961",1049
"Groveland Station CDP, New York: Summary level: 160, state:36> place:31022",97
"Guilford CDP, New York: Summary level: 160, state:36> place:31137",112
"Hadley CDP, New York: Summary level: 160, state:36> place:31258",411
"Hagaman village, New York: Summary level: 160, state:36> place:31291",516
"Hailesboro CDP, New York: Summary level: 160, state:36> place:31346",244
"Halesite CDP, New York: Summary level: 160, state:36> place:31445",1050
"Hall CDP, New York: Summary level: 160, state:36> place:31533",79
"Hamburg village, New York: Summary level: 160, state:36> place:31643",4112
"Hamilton village, New York: Summary level: 160, state:36> place:31709",743
"Hamlin CDP, New York: Summary level: 160, state:36> place:31786",1891
"Hammond village, New York: Summary level: 160, state:36> place:31830",127
"Hammondsport village, New York: Summary level: 160, state:36> place:31852",342
"Hampton Bays CDP, New York: Summary level: 160, state:36> place:31896",5064
"Hampton Manor CDP, New York: Summary level: 160, state:36> place:31918",982
"Hancock village, New York: Summary level: 160, state:36> place:31940",401
"Hannawa Falls CDP, New York: Summary level: 160, state:36> place:32006",490
"Hannibal village, New York: Summary level: 160, state:36> place:32017",270
"Harbor Hills CDP, New York: Summary level: 160, state:36> place:32094",161
"Harbor Isle CDP, New York: Summary level: 160, state:36> place:32105",490
"Harriman village, New York: Summary level: 160, state:36> place:32325",1070
"Harris Hill CDP, New York: Summary level: 160, state:36> place:32391",2126
"Harrison village, New York: Summary level: 160, state:36> place:32402",8350
"Harrisville village, New York: Summary level: 160, state:36> place:32424",239
"Hartsdale CDP, New York: Summary level: 160, state:36> place:32523",2540
"Hartwick CDP, New York: Summary level: 160, state:36> place:32578",230
"Hastings-on-Hudson village, New York: Summary level: 160, state:36> place:32710",2938
"Hauppauge CDP, New York: Summary level: 160, state:36> place:32732",7234
"Haverstraw village, New York: Summary level: 160, state:36> place:32754",3640
"Haviland CDP, New York: Summary level: 160, state:36> place:32776",1488
"Hawthorne CDP, New York: Summary level: 160, state:36> place:32842",1564
"Head of the Harbor village, New York: Summary level: 160, state:36> place:32963",473
"Hemlock CDP, New York: Summary level: 160, state:36> place:33128",191
"Hempstead village, New York: Summary level: 160, state:36> place:33139",16182
"Henderson CDP, New York: Summary level: 160, state:36> place:34044",76
"Heritage Hills CDP, New York: Summary level: 160, state:36> place:34118",2496
"Herkimer village, New York: Summary level: 160, state:36> place:34121",3349
"Hermon village, New York: Summary level: 160, state:36> place:34165",150
