,Total households
"Albany County, New York: Summary level: 050, state:36> county:001",125329
"Bronx County, New York: Summary level: 050, state:36> county:005",498539
"Broome County, New York: Summary level: 050, state:36> county:007",76957
"Cattaraugus County, New York: Summary level: 050, state:36> county:009",31409
"Cayuga County, New York: Summary level: 050, state:36> county:011",30966
"Chautauqua County, New York: Summary level: 050, state:36> county:013",51705
"Chemung County, New York: Summary level: 050, state:36> county:015",34418
"Clinton County, New York: Summary level: 050, state:36> county:019",30624
"Dutchess County, New York: Summary level: 050, state:36> county:027",108200
"Erie County, New York: Summary level: 050, state:36> county:029",380473
"Jefferson County, New York: Summary level: 050, state:36> county:045",41415
"Kings County, New York: Summary level: 050, state:36> county:047",941871
"Livingston County, New York: Summary level: 050, state:36> county:051",23904
"Madison County, New York: Summary level: 050, state:36> county:053",25612
"Monroe County, New York: Summary level: 050, state:36> county:055",299224
"Nassau County, New York: Summary level: 050, state:36> county:059",440785
"New York County, New York: Summary level: 050, state:36> county:061",748293
"Niagara County, New York: Summary level: 050, state:36> county:063",86786
"Oneida County, New York: Summary level: 050, state:36> county:065",87929
"Onondaga County, New York: Summary level: 050, state:36> county:067",182984
"Ontario County, New York: Summary level: 050, state:36> county:069",45187
"Orange County, New York: Summary level: 050, state:36> county:071",124365
"Oswego County, New York: Summary level: 050, state:36> county:075",44633
"Putnam County, New York: Summary level: 050, state:36> county:079",34762
"Queens County, New York: Summary level: 050, state:36> county:081",761819
"Rensselaer County, New York: Summary level: 050, state:36> county:083",62816
"Richmond County, New York: Summary level: 050, state:36> county:085",164289
"Rockland County, New York: Summary level: 050, state:36> county:087",99257
"St. Lawrence County, New York: Summary level: 050, state:36> county:089",40479
"Saratoga County, New York: Summary level: 050, state:36> county:091",93703
"Schenectady County, New York: Summary level: 050, state:36> county:093",48720
"Steuben County, New York: Summary level: 050, state:36> county:101",38458
"Suffolk County, New York: Summary level: 050, state:36> county:103",474311
"Sullivan County, New York: Summary level: 050, state:36> county:105",25031
"Tompkins County, New York: Summary level: 050, state:36> county:109",37683
"Ulster County, New York: Summary level: 050, state:36> county:111",68298
"Warren County, New York: Summary level: 050, state:36> county:113",28841
"Wayne County, New York: Summary level: 050, state:36> county:117",37496
"Westchester County, New York: Summary level: 050, state:36> county:119",342216
