,Total
"Albany County, New York: Summary level: 050, state:36> county:001",303833
"Bronx County, New York: Summary level: 050, state:36> county:005",1386657
"Broome County, New York: Summary level: 050, state:36> county:007",200272
"Cattaraugus County, New York: Summary level: 050, state:36> county:009",80229
"Cayuga County, New York: Summary level: 050, state:36> county:011",79978
"Chautauqua County, New York: Summary level: 050, state:36> county:013",134768
"Chemung County, New York: Summary level: 050, state:36> county:015",88824
"Clinton County, New York: Summary level: 050, state:36> county:019",82115
"Dutchess County, New York: Summary level: 050, state:36> county:027",297577
"Erie County, New York: Summary level: 050, state:36> county:029",918652
"Jefferson County, New York: Summary level: 050, state:36> county:045",116582
"Kings County, New York: Summary level: 050, state:36> county:047",2508340
"Livingston County, New York: Summary level: 050, state:36> county:051",65333
"Madison County, New York: Summary level: 050, state:36> county:053",73439
"Monroe County, New York: Summary level: 050, state:36> county:055",744389
"Nassau County, New York: Summary level: 050, state:36> county:059",1341245
"New York County, New York: Summary level: 050, state:36> county:061",1586698
"Niagara County, New York: Summary level: 050, state:36> county:063",216546
"Oneida County, New York: Summary level: 050, state:36> county:065",234845
"Onondaga County, New York: Summary level: 050, state:36> county:067",467204
"Ontario County, New York: Summary level: 050, state:36> county:069",108116
"Orange County, New York: Summary level: 050, state:36> county:071",373355
"Oswego County, New York: Summary level: 050, state:36> county:075",122114
"Putnam County, New York: Summary level: 050, state:36> county:079",99713
"Queens County, New York: Summary level: 050, state:36> county:081",2233841
"Rensselaer County, New York: Summary level: 050, state:36> county:083",159428
"Richmond County, New York: Summary level: 050, state:36> county:085",469363
"Rockland County, New York: Summary level: 050, state:36> county:087",312183
"St. Lawrence County, New York: Summary level: 050, state:36> county:089",111894
"Saratoga County, New York: Summary level: 050, state:36> county:091",219960
"Schenectady County, New York: Summary level: 050, state:36> county:093",154889
"Steuben County, New York: Summary level: 050, state:36> county:101",98930
"Suffolk County, New York: Summary level: 050, state:36> county:103",1494434
"Sullivan County, New York: Summary level: 050, state:36> county:105",77500
"Tompkins County, New York: Summary level: 050, state:36> county:109",101620
"Ulster County, New York: Summary level: 050, state:36> county:111",182435
"Warren County, New York: Summary level: 050, state:36> county:113",65697
"Wayne County, New York: Summary level: 050, state:36> county:117",93753
"Westchester County, New York: Summary level: 050, state:36> county:119",950541
