,Total
"Malverne village, New York: Summary level: 160, state:36> place:44787",8535
"Plandome village, New York: Summary level: 160, state:36> place:58475",1251
"New Square village, New York: Summary level: 160, state:36> place:50705",8133
"South Nyack village, New York: Summary level: 160, state:36> place:69441",3517
"Viola CDP, New York: Summary level: 160, state:36> place:77574",6917
"Gouverneur village, New York: Summary level: 160, state:36> place:29597",3751
"Rensselaer Falls village, New York: Summary level: 160, state:36> place:61159",361
"Newark village, New York: Summary level: 160, state:36> place:49891",8937
"Elmira city, New York: Summary level: 160, state:36> place:24229",27695
"Van Etten village, New York: Summary level: 160, state:36> place:76881",678
"West Elmira CDP, New York: Summary level: 160, state:36> place:79785",4827
"Mount Morris village, New York: Summary level: 160, state:36> place:48945",2757
"Corfu village, New York: Summary level: 160, state:36> place:18201",707
"Sodus village, New York: Summary level: 160, state:36> place:68209",1687
"Ogdensburg city, New York: Summary level: 160, state:36> place:54485",10748
"Waddington village, New York: Summary level: 160, state:36> place:77728",938
"Clyde village, New York: Summary level: 160, state:36> place:16573",2111
"Big Flats CDP, New York: Summary level: 160, state:36> place:06464",5212
"Geneseo village, New York: Summary level: 160, state:36> place:28618",8096
"Miller Place CDP, New York: Summary level: 160, state:36> place:47306",11755
"Addison village, New York: Summary level: 160, state:36> place:00276",1753
"Hornell city, New York: Summary level: 160, state:36> place:35672",8308
"Riverside village, New York: Summary level: 160, state:36> place:62061",514
"Cold Spring village, New York: Summary level: 160, state:36> place:16936",1862
"Lake Carmel CDP, New York: Summary level: 160, state:36> place:40398",8114
"Putnam Lake CDP, New York: Summary level: 160, state:36> place:60103",3519
"Port Byron village, New York: Summary level: 160, state:36> place:59212",1006
"Au Sable Forks CDP, New York: Summary level: 160, state:36> place:03254",426
"Cumberland Head CDP, New York: Summary level: 160, state:36> place:19408",1395
"Redford CDP, New York: Summary level: 160, state:36> place:60884",361
"Bemus Point village, New York: Summary level: 160, state:36> place:05848",301
"Brocton village, New York: Summary level: 160, state:36> place:08488",1319
"Frewsburg CDP, New York: Summary level: 160, state:36> place:27672",1664
"Ripley CDP, New York: Summary level: 160, state:36> place:61874",787
"Freeville village, New York: Summary level: 160, state:36> place:27529",394
"Newfield Hamlet CDP, New York: Summary level: 160, state:36> place:50257",465
"Trumansburg village, New York: Summary level: 160, state:36> place:75506",1805
"Penn Yan village, New York: Summary level: 160, state:36> place:57177",4818
"Lewiston village, New York: Summary level: 160, state:36> place:42147",2592
"South Lockport CDP, New York: Summary level: 160, state:36> place:69386",7315
"Youngstown village, New York: Summary level: 160, state:36> place:84143",2047
"Almond village, New York: Summary level: 160, state:36> place:01440",494
"Canisteo village, New York: Summary level: 160, state:36> place:12254",2262
"Corning city, New York: Summary level: 160, state:36> place:18256",10789
"Sleepy Hollow village, New York: Summary level: 160, state:36> place:67638",10138
"Bellerose Terrace CDP, New York: Summary level: 160, state:36> place:05661",2055
"Cove Neck village, New York: Summary level: 160, state:36> place:18597",254
"Baldwinsville village, New York: Summary level: 160, state:36> place:04198",7550
"Galeville CDP, New York: Summary level: 160, state:36> place:28035",4557
"Valatie village, New York: Summary level: 160, state:36> place:76617",1728
"Ghent CDP, New York: Summary level: 160, state:36> place:28860",529
"Kinderhook village, New York: Summary level: 160, state:36> place:39562",1366
"Lorenz Park CDP, New York: Summary level: 160, state:36> place:43511",2150
"Fairport village, New York: Summary level: 160, state:36> place:25076",5349
"Hilton village, New York: Summary level: 160, state:36> place:34847",5858
"Pittsford village, New York: Summary level: 160, state:36> place:58354",1667
"Plainedge CDP, New York: Summary level: 160, state:36> place:58409",9206
"Rockville Centre village, New York: Summary level: 160, state:36> place:63264",24442
"Remsen village, New York: Summary level: 160, state:36> place:61115",418
"Sherrill city, New York: Summary level: 160, state:36> place:66993",3031
"Sylvan Beach village, New York: Summary level: 160, state:36> place:72521",832
"Yorkville village, New York: Summary level: 160, state:36> place:84099",2607
"Camillus village, New York: Summary level: 160, state:36> place:11902",1194
"Fabius village, New York: Summary level: 160, state:36> place:24867",336
"Cape Vincent village, New York: Summary level: 160, state:36> place:12353",652
"West Bay Shore CDP, New York: Summary level: 160, state:36> place:79301",4853
"Portville village, New York: Summary level: 160, state:36> place:59498",965
"Alexandria Bay village, New York: Summary level: 160, state:36> place:01187",831
"Calcium CDP, New York: Summary level: 160, state:36> place:11671",3841
"Glen Park village, New York: Summary level: 160, state:36> place:29322",568
"Great Bend CDP, New York: Summary level: 160, state:36> place:30136",1100
"Gilbertsville village, New York: Summary level: 160, state:36> place:28959",355
"Oneonta city, New York: Summary level: 160, state:36> place:54881",13834
"West End CDP, New York: Summary level: 160, state:36> place:79796",1887
"Country Knolls CDP, New York: Summary level: 160, state:36> place:18542",2120
"Galway village, New York: Summary level: 160, state:36> place:28101",221
"East Kingston CDP, New York: Summary level: 160, state:36> place:22370",737
"Kerhonkson CDP, New York: Summary level: 160, state:36> place:39397",2373
"North Sea CDP, New York: Summary level: 160, state:36> place:53561",4522
"Noyack CDP, New York: Summary level: 160, state:36> place:54056",4327
"Patchogue village, New York: Summary level: 160, state:36> place:56660",12398
"Peconic CDP, New York: Summary level: 160, state:36> place:56968",747
"Southold CDP, New York: Summary level: 160, state:36> place:69452",6117
"Oyster Bay Cove village, New York: Summary level: 160, state:36> place:56011",2170
"Port Washington CDP, New York: Summary level: 160, state:36> place:59520",15600
"Roosevelt CDP, New York: Summary level: 160, state:36> place:63506",16229
"Russell Gardens village, New York: Summary level: 160, state:36> place:64232",932
"Uniondale CDP, New York: Summary level: 160, state:36> place:76089",31828
"University Gardens CDP, New York: Summary level: 160, state:36> place:76287",4202
"West Hempstead CDP, New York: Summary level: 160, state:36> place:80225",20116
"Silver Springs village, New York: Summary level: 160, state:36> place:67466",875
"Cherry Creek village, New York: Summary level: 160, state:36> place:15187",481
"Fredonia village, New York: Summary level: 160, state:36> place:27419",10637
