,Total,Male,Male!!Under 5 years,Male!!5 to 9 years,Male!!10 to 14 years,Male!!15 to 17 years,Male!!18 and 19 years,Male!!20 years,Male!!21 years,Male!!22 to 24 years,Male!!25 to 29 years,Male!!30 to 34 years,Male!!35 to 39 years,Male!!40 to 44 years,Male!!45 to 49 years,Male!!50 to 54 years,Male!!55 to 59 years,Male!!60 and 61 years,Male!!62 to 64 years,Male!!65 and 66 years,Male!!67 to 69 years,Male!!70 to 74 years,Male!!75 to 79 years,Male!!80 to 84 years,Male!!85 years and over,Female,Female!!Under 5 years,Female!!5 to 9 years,Female!!10 to 14 years,Female!!15 to 17 years,Female!!18 and 19 years,Female!!20 years,Female!!21 years,Female!!22 to 24 years,Female!!25 to 29 years,Female!!30 to 34 years,Female!!35 to 39 years,Female!!40 to 44 years,Female!!45 to 49 years,Female!!50 to 54 years,Female!!55 to 59 years,Female!!60 and 61 years,Female!!62 to 64 years,Female!!65 and 66 years,Female!!67 to 69 years,Female!!70 to 74 years,Female!!75 to 79 years,Female!!80 to 84 years,Female!!85 years and over
"Malverne village, New York: Summary level: 160, state:36> place:44787",8535,4075,230,160,195,136,149,55,74,165,271,212,301,170,271,131,331,185,143,164,152,232,136,89,123,4460,294,200,269,123,21,0,19,161,159,285,212,196,261,303,454,227,302,92,177,219,178,106,202
"Plandome village, New York: Summary level: 160, state:36> place:58475",1251,620,14,40,82,77,15,3,6,3,16,4,23,23,69,64,54,21,26,9,7,10,25,9,20,631,37,30,86,24,7,13,7,8,4,19,13,46,77,72,38,24,8,17,15,36,18,6,26
"New Square village, New York: Summary level: 160, state:36> place:50705",8133,4156,827,712,612,384,148,76,52,159,220,193,252,151,64,42,89,28,36,15,61,15,0,5,15,3977,668,708,698,275,170,20,74,221,197,150,255,115,78,59,103,8,65,18,19,18,24,21,13
"South Nyack village, New York: Summary level: 160, state:36> place:69441",3517,1785,91,62,69,133,104,145,75,81,97,143,124,60,12,122,133,9,66,27,8,76,64,63,21,1732,16,32,53,8,102,123,87,113,79,67,134,84,83,102,167,80,14,34,25,152,42,78,57
"Viola CDP, New York: Summary level: 160, state:36> place:77574",6917,3176,242,351,360,392,108,26,82,95,108,108,143,124,116,127,131,64,207,101,75,120,18,18,60,3741,384,365,326,123,205,128,48,192,334,126,172,117,113,150,237,20,149,48,120,65,37,82,200
"Gouverneur village, New York: Summary level: 160, state:36> place:29597",3751,1965,86,93,201,50,78,91,0,143,20,279,2,132,164,125,117,0,91,50,32,16,63,35,97,1786,20,52,82,54,29,72,0,123,116,46,29,142,210,215,79,61,125,43,54,102,29,63,40
"Rensselaer Falls village, New York: Summary level: 160, state:36> place:61159",361,180,24,20,22,4,7,0,0,11,9,24,7,14,6,5,8,5,1,2,3,3,2,1,2,181,17,10,29,3,2,0,1,5,13,16,19,12,8,7,14,4,2,1,1,4,7,5,1
"Newark village, New York: Summary level: 160, state:36> place:49891",8937,4159,237,322,261,96,80,107,37,194,197,323,160,223,238,337,301,173,204,81,125,210,139,82,32,4778,254,254,234,174,134,77,65,99,327,262,307,254,302,384,479,63,200,93,165,230,184,146,91
"Elmira city, New York: Summary level: 160, state:36> place:24229",27695,13787,955,1050,666,523,443,234,316,670,1245,1079,1110,951,883,972,783,234,322,304,289,338,202,123,95,13908,1087,879,979,471,502,437,295,561,790,1024,787,772,732,809,996,263,387,358,412,519,255,115,478
"Van Etten village, New York: Summary level: 160, state:36> place:76881",678,315,15,31,37,14,5,20,3,5,20,7,37,11,10,22,25,5,11,5,15,10,4,0,3,363,43,23,23,21,5,5,6,12,28,28,20,17,19,29,27,7,12,2,9,12,0,2,13
