,Total,Not Hispanic or Latino,Not Hispanic or Latino White alone,Not Hispanic or Latino Black or African American alone,Not Hispanic or Latino American Indian and Alaska Native alone,Not Hispanic or Latino Asian alone,Not Hispanic or Latino Native Hawaiian and Other Pacific Islander alone,Not Hispanic or Latino Some other race alone,Not Hispanic or Latino Two or more races,Not Hispanic or Latino Two or more races Two races including Some other race,"Not Hispanic or Latino Two or more races Two races excluding Some other race, and three or more",Hispanic or Latino
"Albany County, New York: Summary level: 050, state:36> county:001",308846.0,290831.0,222791.0,35992.0,298.0,20938.0,0.0,695.0,10117.0,1131.0,8986.0,18015.0
"Bronx County, New York: Summary level: 050, state:36> county:005",1455720.0,640298.0,131556.0,428954.0,3393.0,50926.0,314.0,7075.0,18080.0,2073.0,16007.0,815422.0
"Broome County, New York: Summary level: 050, state:36> county:007",195334.0,187334.0,163212.0,10501.0,0.0,7006.0,21.0,90.0,6504.0,596.0,5908.0,8000.0
"Cattaraugus County, New York: Summary level: 050, state:36> county:009",77677.0,76096.0,70461.0,1148.0,2392.0,509.0,0.0,15.0,1571.0,471.0,1100.0,1581.0
"Cayuga County, New York: Summary level: 050, state:36> county:011",,,,,,,,,,,,
"Chautauqua County, New York: Summary level: 050, state:36> county:013",,,,,,,,,,,,
"Chemung County, New York: Summary level: 050, state:36> county:015",,,,,,,,,,,,
"Clinton County, New York: Summary level: 050, state:36> county:019",,,,,,,,,,,,
"Dutchess County, New York: Summary level: 050, state:36> county:027",294473.0,259172.0,209939.0,29527.0,764.0,10687.0,156.0,1957.0,6142.0,121.0,6021.0,35301.0
"Erie County, New York: Summary level: 050, state:36> county:029",921046.0,872038.0,697733.0,119079.0,3736.0,34015.0,319.0,482.0,16674.0,291.0,16383.0,49008.0
"Madison County, New York: Summary level: 050, state:36> county:053",,,,,,,,,,,,
"Jefferson County, New York: Summary level: 050, state:36> county:045",114006.0,105840.0,93531.0,5451.0,1485.0,1939.0,11.0,147.0,3276.0,101.0,3175.0,8166.0
"Kings County, New York: Summary level: 050, state:36> county:047",2629150.0,2123967.0,941711.0,799485.0,3024.0,314019.0,1035.0,8483.0,56210.0,4044.0,52166.0,505183.0
"Livingston County, New York: Summary level: 050, state:36> county:051",,,,,,,,,,,,
"Monroe County, New York: Summary level: 050, state:36> county:055",747727.0,683933.0,528993.0,108737.0,1692.0,26135.0,309.0,985.0,17082.0,1771.0,15311.0,63794.0
"Nassau County, New York: Summary level: 050, state:36> county:059",1361500.0,1133112.0,823292.0,153288.0,1838.0,127495.0,285.0,4712.0,22202.0,4869.0,17333.0,228388.0
"New York County, New York: Summary level: 050, state:36> county:061",1643734.0,1216510.0,769153.0,206110.0,2299.0,201309.0,773.0,3226.0,33640.0,1912.0,31728.0,427224.0
"Niagara County, New York: Summary level: 050, state:36> county:063",211758.0,205781.0,181425.0,13385.0,2205.0,2082.0,141.0,401.0,6142.0,37.0,6105.0,5977.0
"Oneida County, New York: Summary level: 050, state:36> county:065",231190.0,218447.0,189960.0,11996.0,205.0,9824.0,53.0,393.0,6016.0,33.0,5983.0,12743.0
"Onondaga County, New York: Summary level: 050, state:36> county:067",466194.0,443886.0,358921.0,50261.0,1741.0,17368.0,81.0,903.0,14611.0,113.0,14498.0,22308.0
"Ontario County, New York: Summary level: 050, state:36> county:069",,,,,,,,,,,,
"Orange County, New York: Summary level: 050, state:36> county:071",379210.0,302970.0,245371.0,35358.0,1105.0,10415.0,149.0,1002.0,9570.0,175.0,9395.0,76240.0
"Oswego County, New York: Summary level: 050, state:36> county:075",,,,,,,,,,,,
"Putnam County, New York: Summary level: 050, state:36> county:079",,,,,,,,,,,,
"Queens County, New York: Summary level: 050, state:36> county:081",2333054.0,1679360.0,579780.0,397247.0,5720.0,589414.0,632.0,53375.0,53192.0,11557.0,41635.0,653694.0
"Rensselaer County, New York: Summary level: 050, state:36> county:083",160070.0,152238.0,133674.0,9026.0,102.0,3950.0,0.0,686.0,4800.0,0.0,4800.0,7832.0
"Richmond County, New York: Summary level: 050, state:36> county:085",476015.0,388448.0,292822.0,45288.0,143.0,40174.0,633.0,2107.0,7281.0,459.0,6822.0,87567.0
"Rockland County, New York: Summary level: 050, state:36> county:087",326780.0,269412.0,204249.0,37587.0,462.0,19686.0,49.0,2507.0,4872.0,324.0,4548.0,57368.0
"St. Lawrence County, New York: Summary level: 050, state:36> county:089",110038.0,106976.0,101202.0,2462.0,437.0,1383.0,11.0,40.0,1441.0,0.0,1441.0,3062.0
"Saratoga County, New York: Summary level: 050, state:36> county:091",,,,,,,,,,,,
"Schenectady County, New York: Summary level: 050, state:36> county:093",154553.0,143889.0,112103.0,14108.0,258.0,6739.0,219.0,5366.0,5096.0,994.0,4102.0,10664.0
"Steuben County, New York: Summary level: 050, state:36> county:101",,,,,,,,,,,,
"Suffolk County, New York: Summary level: 050, state:36> county:103",1492583.0,1208651.0,1015171.0,107613.0,1861.0,58095.0,303.0,5667.0,19941.0,2334.0,17607.0,283932.0
"Sullivan County, New York: Summary level: 050, state:36> county:105",,,,,,,,,,,,
"Tompkins County, New York: Summary level: 050, state:36> county:109",,,,,,,,,,,,
"Ulster County, New York: Summary level: 050, state:36> county:111",179225.0,161184.0,142541.0,9116.0,54.0,3911.0,21.0,284.0,5257.0,21.0,5236.0,18041.0
"Warren County, New York: Summary level: 050, state:36> county:113",,,,,,,,,,,,
"Wayne County, New York: Summary level: 050, state:36> county:117",,,,,,,,,,,,
"Westchester County, New York: Summary level: 050, state:36> county:119",974542.0,736551.0,524327.0,133109.0,1697.0,57649.0,153.0,2157.0,17459.0,1588.0,15871.0,237991.0
