,Total,Not Hispanic or Latino,Not Hispanic or Latino White alone,Not Hispanic or Latino Black or African American alone,Not Hispanic or Latino American Indian and Alaska Native alone,Not Hispanic or Latino Asian alone,Not Hispanic or Latino Native Hawaiian and Other Pacific Islander alone,Not Hispanic or Latino Some other race alone,Not Hispanic or Latino Two or more races,Not Hispanic or Latino Two or more races Two races including Some other race,"Not Hispanic or Latino Two or more races Two races excluding Some other race, and three or more",Hispanic or Latino
"Malverne village, New York: Summary level: 160, state:36> place:44787",8535,7901,6521,598,6,337,0,50,389,13,376,634
"Plandome village, New York: Summary level: 160, state:36> place:58475",1251,1194,1131,0,0,53,0,0,10,0,10,57
"New Square village, New York: Summary level: 160, state:36> place:50705",8133,8094,8078,9,0,0,0,0,7,7,0,39
"South Nyack village, New York: Summary level: 160, state:36> place:69441",3517,3084,2080,686,26,151,0,0,141,0,141,433
"Viola CDP, New York: Summary level: 160, state:36> place:77574",6917,6612,6216,261,0,105,0,0,30,16,14,305
"Gouverneur village, New York: Summary level: 160, state:36> place:29597",3751,3711,3564,114,13,0,0,0,20,0,20,40
"Rensselaer Falls village, New York: Summary level: 160, state:36> place:61159",361,358,352,5,0,0,0,0,1,0,1,3
"Newark village, New York: Summary level: 160, state:36> place:49891",8937,8366,7424,591,8,124,18,0,201,0,201,571
"Elmira city, New York: Summary level: 160, state:36> place:24229",27695,26133,20231,3844,239,130,6,72,1611,17,1594,1562
"Van Etten village, New York: Summary level: 160, state:36> place:76881",678,667,653,0,0,6,0,0,8,0,8,11
"West Elmira CDP, New York: Summary level: 160, state:36> place:79785",4827,4757,4669,32,0,53,0,0,3,0,3,70
"Mount Morris village, New York: Summary level: 160, state:36> place:48945",2757,2344,2094,243,7,0,0,0,0,0,0,413
"Corfu village, New York: Summary level: 160, state:36> place:18201",707,695,667,21,0,3,0,0,4,0,4,12
"Sodus village, New York: Summary level: 160, state:36> place:68209",1687,1562,1284,231,20,0,0,0,27,0,27,125
"Ogdensburg city, New York: Summary level: 160, state:36> place:54485",10748,10206,8912,734,104,165,32,19,240,27,213,542
"Waddington village, New York: Summary level: 160, state:36> place:77728",938,920,920,0,0,0,0,0,0,0,0,18
"Clyde village, New York: Summary level: 160, state:36> place:16573",2111,1927,1799,55,4,1,0,0,68,0,68,184
"Big Flats CDP, New York: Summary level: 160, state:36> place:06464",5212,5209,5054,57,0,98,0,0,0,0,0,3
"Geneseo village, New York: Summary level: 160, state:36> place:28618",8096,7690,7054,176,6,304,0,0,150,0,150,406
"Miller Place CDP, New York: Summary level: 160, state:36> place:47306",11755,10821,10440,28,0,263,0,0,90,0,90,934
"Addison village, New York: Summary level: 160, state:36> place:00276",1753,1727,1687,19,4,4,0,6,7,0,7,26
"Hornell city, New York: Summary level: 160, state:36> place:35672",8308,8133,7684,68,14,139,0,19,209,0,209,175
"Riverside village, New York: Summary level: 160, state:36> place:62061",514,514,504,8,0,0,0,0,2,0,2,0
"Cold Spring village, New York: Summary level: 160, state:36> place:16936",1862,1769,1682,11,15,38,0,3,20,0,20,93
"Lake Carmel CDP, New York: Summary level: 160, state:36> place:40398",8114,6439,5748,373,16,192,0,55,55,5,50,1675
