,Total,Income in the past 12 months below the poverty level,Income in the past 12 months below the poverty level!!Enrolled in school,"Income in the past 12 months below the poverty level!!Enrolled in school!!Enrolled in nursery school, preschool",Income in the past 12 months at or above the poverty level,Income in the past 12 months at or above the poverty level!!Enrolled in school,"Income in the past 12 months at or above the poverty level!!Enrolled in school!!Enrolled in nursery school, preschool",Income in the past 12 months below poverty level:!!Male:!!Under 5 years,Income in the past 12 months below poverty level:!!Female:!!Under 5 years,Income in the past 12 months at or above poverty level:!!Male:!!Under 5 years,Income in the past 12 months at or above poverty level:!!Female:!!Under 5 years
"Alden village, New York: Summary level: 160, state:36> place:01088",2522,355,171,13,2167,481,12,40,13,49,4
"Alexander village, New York: Summary level: 160, state:36> place:01154",545,56,25,0,489,152,2,0,7,14,5
"Alexandria Bay village, New York: Summary level: 160, state:36> place:01187",916,109,36,0,807,141,22,0,0,35,11
"Alfred village, New York: Summary level: 160, state:36> place:01198",808,362,342,2,446,161,3,4,0,4,13
"Allegany village, New York: Summary level: 160, state:36> place:01286",1652,323,232,0,1329,296,29,4,0,7,32
"Almond village, New York: Summary level: 160, state:36> place:01440",479,64,21,0,415,105,2,8,18,8,4
"Altamont village, New York: Summary level: 160, state:36> place:01517",1481,64,16,2,1417,317,35,0,2,17,61
"Altmar village, New York: Summary level: 160, state:36> place:01550",343,146,59,11,197,58,2,10,1,9,0
"Altona CDP, New York: Summary level: 160, state:36> place:01572",239,76,13,0,163,0,0,14,0,19,4
"Amagansett CDP, New York: Summary level: 160, state:36> place:01594",1009,51,6,6,958,145,28,0,6,13,23
"Amenia CDP, New York: Summary level: 160, state:36> place:01682",1155,186,88,28,969,310,9,84,0,15,43
"Ames village, New York: Summary level: 160, state:36> place:01737",188,8,3,0,180,43,0,0,0,2,2
"Amityville village, New York: Summary level: 160, state:36> place:02044",8566,846,223,0,7720,1615,65,0,109,215,278
"Amsterdam city, New York: Summary level: 160, state:36> place:02066",17581,4010,1379,196,13571,2875,197,266,253,366,258
"Andes CDP, New York: Summary level: 160, state:36> place:02121",214,54,36,0,160,40,0,0,0,0,2
"Andover village, New York: Summary level: 160, state:36> place:02143",813,134,56,6,679,156,2,3,9,15,16
"Angelica village, New York: Summary level: 160, state:36> place:02176",887,84,14,0,803,140,19,18,8,28,48
"Angola village, New York: Summary level: 160, state:36> place:02198",1822,211,47,0,1611,439,36,10,0,18,53
"Angola on the Lake CDP, New York: Summary level: 160, state:36> place:02220",1410,92,8,0,1318,292,22,0,0,31,13
"Antwerp village, New York: Summary level: 160, state:36> place:02286",514,66,15,0,448,125,0,9,0,8,14
"Apalachin CDP, New York: Summary level: 160, state:36> place:02308",1360,117,10,0,1243,247,0,0,34,45,6
"Aquebogue CDP, New York: Summary level: 160, state:36> place:02374",2064,321,100,21,1743,243,0,0,175,59,24
"Arcade village, New York: Summary level: 160, state:36> place:02407",1931,261,123,0,1670,436,0,11,0,23,7
"Ardsley village, New York: Summary level: 160, state:36> place:02506",4439,117,61,0,4322,1418,68,0,0,40,62
"Argyle village, New York: Summary level: 160, state:36> place:02550",267,24,7,0,243,47,2,0,13,3,5
"Arkport village, New York: Summary level: 160, state:36> place:02583",836,14,3,0,822,191,12,0,0,71,16
"Arlington CDP, New York: Summary level: 160, state:36> place:02616",3242,625,166,0,2617,748,25,5,0,39,80
"Armonk CDP, New York: Summary level: 160, state:36> place:02649",4330,92,41,7,4238,1516,119,0,7,156,143
"Asharoken village, New York: Summary level: 160, state:36> place:02737",594,30,9,0,564,108,12,0,0,19,7
"Athens village, New York: Summary level: 160, state:36> place:02902",1398,139,12,0,1259,213,10,6,0,22,38
"Atlantic Beach village, New York: Summary level: 160, state:36> place:02968",1619,102,3,0,1517,363,45,0,0,33,25
"Attica village, New York: Summary level: 160, state:36> place:03001",2567,238,80,0,2329,606,78,0,7,58,89
"Auburn city, New York: Summary level: 160, state:36> place:03078",24049,4424,1369,80,19625,4372,204,240,426,620,481
"Aurora village, New York: Summary level: 160, state:36> place:03188",328,4,4,0,324,18,0,0,0,6,1
"Au Sable Forks CDP, New York: Summary level: 160, state:36> place:03254",419,35,0,0,384,97,0,0,0,2,2
