,Total,Income in the past 12 months below the poverty level,Income in the past 12 months below the poverty level!!Enrolled in school,"Income in the past 12 months below the poverty level!!Enrolled in school!!Enrolled in nursery school, preschool",Income in the past 12 months at or above the poverty level,Income in the past 12 months at or above the poverty level!!Enrolled in school,"Income in the past 12 months at or above the poverty level!!Enrolled in school!!Enrolled in nursery school, preschool",Income in the past 12 months below poverty level:!!Male:!!Under 5 years,Income in the past 12 months below poverty level:!!Female:!!Under 5 years,Income in the past 12 months at or above poverty level:!!Male:!!Under 5 years,Income in the past 12 months at or above poverty level:!!Female:!!Under 5 years
"Albany County, New York: Summary level: 050, state:36> county:001",284393,32019,11864,845,252374,58860,3339,1044,866,7330,6169
"Bronx County, New York: Summary level: 050, state:36> county:005",1377140,378811,138430,11194,998329,251455,15427,20786,20546,31253,29589
"Broome County, New York: Summary level: 050, state:36> county:007",178235,31524,12897,393,146711,32254,2150,1417,942,3925,3802
"Cattaraugus County, New York: Summary level: 050, state:36> county:009",72449,11076,2955,201,61373,12978,627,735,616,1533,1448
"Cayuga County, New York: Summary level: 050, state:36> county:011",70603,7840,2557,53,62763,12398,533,349,162,1418,1582
"Chautauqua County, New York: Summary level: 050, state:36> county:013",119313,20638,6920,153,98675,18328,1007,1024,832,2429,2292
"Chemung County, New York: Summary level: 050, state:36> county:015",77721,11064,3726,575,66657,13806,1116,987,741,1645,1409
"Clinton County, New York: Summary level: 050, state:36> county:019",71313,9147,2823,40,62166,13513,991,371,201,1644,1360
"Dutchess County, New York: Summary level: 050, state:36> county:027",271077,27777,10126,270,243300,54732,3083,740,1649,5613,5642
"Erie County, New York: Summary level: 050, state:36> county:029",868110,124279,45750,2268,743831,159129,9351,5558,6444,20074,18126
"Jefferson County, New York: Summary level: 050, state:36> county:045",101103,15283,4620,472,85820,19227,752,970,1008,3545,3041
"Kings County, New York: Summary level: 050, state:36> county:047",2506941,490098,165686,13541,2016843,479685,35298,27062,23093,70675,69924
"Livingston County, New York: Summary level: 050, state:36> county:051",55490,6271,2333,0,49219,10208,347,300,84,971,1421
"Madison County, New York: Summary level: 050, state:36> county:053",64096,6113,1367,188,57983,10544,875,318,100,1503,1545
"Monroe County, New York: Summary level: 050, state:36> county:055",699061,101325,39748,1155,597736,126793,7750,5130,3892,15732,16324
"Nassau County, New York: Summary level: 050, state:36> county:059",1310554,78076,24945,981,1232478,310743,24569,2492,2680,35048,33181
"New York County, New York: Summary level: 050, state:36> county:061",1566498,254118,78919,3477,1312380,220447,19347,9178,5970,31363,33219
"Niagara County, New York: Summary level: 050, state:36> county:063",201417,24071,6968,400,177346,37556,2826,1081,865,4544,3966
"Oneida County, New York: Summary level: 050, state:36> county:065",211068,32974,11503,585,178094,35449,1401,1474,2405,5075,4230
"Onondaga County, New York: Summary level: 050, state:36> county:067",430577,58317,23190,1228,372260,80424,4677,2764,2713,10612,9684
"Ontario County, New York: Summary level: 050, state:36> county:069",103285,9010,2670,0,94275,20433,1005,468,599,2159,2156
"Orange County, New York: Summary level: 050, state:36> county:071",357543,34140,11479,796,323403,88984,3932,2485,2235,10428,9120
"Oswego County, New York: Summary level: 050, state:36> county:075",109089,18231,5912,253,90858,17883,957,1209,451,1911,2395
"Putnam County, New York: Summary level: 050, state:36> county:079",94818,4680,678,78,90138,20816,758,0,78,2420,1910
"Queens County, New York: Summary level: 050, state:36> county:081",2246958,267840,79130,4224,1979118,448384,27919,11615,12298,61030,56864
"Rensselaer County, New York: Summary level: 050, state:36> county:083",149759,17525,6863,68,132234,29130,1503,452,609,3094,3494
"Richmond County, New York: Summary level: 050, state:36> county:085",457812,52821,15771,1007,404991,98149,5562,2675,2557,11146,10628
"Rockland County, New York: Summary level: 050, state:36> county:087",310432,40775,19531,1591,269657,78031,5125,3260,2598,9047,10009
"St. Lawrence County, New York: Summary level: 050, state:36> county:089",95107,17666,5805,371,77441,14419,801,1387,1419,1573,1119
"Saratoga County, New York: Summary level: 050, state:36> county:091",220022,13921,3999,89,206101,45426,3444,472,365,5166,5337
"Schenectady County, New York: Summary level: 050, state:36> county:093",145835,18652,6808,229,127183,30275,2317,602,409,3445,3393
"Steuben County, New York: Summary level: 050, state:36> county:101",91478,11069,2916,219,80409,16912,925,573,575,2098,1809
"Suffolk County, New York: Summary level: 050, state:36> county:103",1425822,96814,26093,837,1329008,325876,20863,2699,4344,36333,33502
"Sullivan County, New York: Summary level: 050, state:36> county:105",70796,8893,3181,194,61903,12989,550,377,309,1040,1595
"Tompkins County, New York: Summary level: 050, state:36> county:109",88993,18229,10767,111,70764,16553,653,87,624,1726,1040
"Ulster County, New York: Summary level: 050, state:36> county:111",167516,23730,7879,549,143786,27484,1419,366,545,3695,2996
"Warren County, New York: Summary level: 050, state:36> county:113",61413,4558,1009,0,56855,10665,592,15,111,1461,1121
"Wayne County, New York: Summary level: 050, state:36> county:117",87132,11247,3468,293,75885,16926,1140,415,232,1659,2032
"Westchester County, New York: Summary level: 050, state:36> county:119",926497,76850,24340,1564,849647,209121,17635,2835,2528,25142,23924
