,Total renters:,Rent as % of HHI:!!35.0 to 39.9 percent,Rent as % of HHI:!!40.0 to 49.9 percent,Rent as % of HHI:!!50.0 percent or more,Not computed,Total owners:,Housing units with a mortgage:,Housing units with a mortgage:!!35.0 to 39.9 percent,Housing units with a mortgage:!!40.0 to 49.9 percent,Housing units with a mortgage:!!50.0 percent or more,Housing units with a mortgage:!!Not computed,Housing units without a mortgage:,Housing units without a mortgage:!!35.0 to 39.9 percent,Housing units without a mortgage:!!40.0 to 49.9 percent,Housing units without a mortgage:!!50.0 percent or more,Housing units without a mortgage:!!Not computed
"Albany County, New York: Summary level: 050, state:36> county:001",51753,2543,3951,15156,2227,68732,45574,1780,2620,4749,46,23158,323,1578,2063,0
"Bronx County, New York: Summary level: 050, state:36> county:005",383419,23371,32228,122535,15796,88493,53956,3704,5133,15957,470,34537,1110,1303,4671,734
"Broome County, New York: Summary level: 050, state:36> county:007",26370,1418,2420,6755,2230,53648,31529,1104,1985,3188,0,22119,479,777,1107,221
"Cattaraugus County, New York: Summary level: 050, state:36> county:009",8477,554,929,1514,541,23706,12675,642,962,1384,0,11031,413,195,453,88
"Cayuga County, New York: Summary level: 050, state:36> county:011",8096,561,365,1444,597,22879,13541,639,585,1510,224,9338,209,535,428,55
"Chautauqua County, New York: Summary level: 050, state:36> county:013",15848,1216,1086,3766,1644,39514,23299,761,1376,2280,228,16215,946,445,772,475
"Chemung County, New York: Summary level: 050, state:36> county:015",11686,605,1073,2959,767,23848,14001,306,1010,708,141,9847,189,196,209,79
"Clinton County, New York: Summary level: 050, state:36> county:019",11158,601,335,2853,1242,20501,13016,269,486,1679,0,7485,135,270,405,251
"Dutchess County, New York: Summary level: 050, state:36> county:027",31495,1758,2796,9004,1115,75439,53196,3163,4692,8388,314,22243,1004,906,1987,44
"Erie County, New York: Summary level: 050, state:36> county:029",132936,8255,9888,34519,8267,244018,155328,8247,9357,14662,218,88690,2431,2601,4321,429
"Jefferson County, New York: Summary level: 050, state:36> county:045",19764,1040,1422,3109,2506,25399,15049,588,1098,1674,82,10350,198,242,809,28
"Kings County, New York: Summary level: 050, state:36> county:047",631817,38391,53051,181547,35076,273500,182472,10653,17362,55511,1778,91028,4253,5265,13406,939
"Livingston County, New York: Summary level: 050, state:36> county:051",6613,163,212,1844,1696,17241,11977,512,636,1143,0,5264,65,150,209,66
"Madison County, New York: Summary level: 050, state:36> county:053",5971,489,339,537,799,20272,11346,646,762,1124,85,8926,472,413,300,52
"Monroe County, New York: Summary level: 050, state:36> county:055",101317,5605,9609,29451,5692,193344,136040,7008,7761,14221,320,57304,1626,2033,3755,1060
"Nassau County, New York: Summary level: 050, state:36> county:059",87578,6648,7934,26319,5124,355151,234326,16531,23852,54191,774,120825,5683,7052,15866,760
"New York County, New York: Summary level: 050, state:36> county:061",564443,34344,39340,122417,25127,161647,95295,4172,6349,14794,851,66352,1376,3059,6098,1162
"Niagara County, New York: Summary level: 050, state:36> county:063",27263,1569,2026,8342,1090,60364,37664,1538,2283,2894,165,22700,622,884,1805,247
"Oneida County, New York: Summary level: 050, state:36> county:065",27577,1169,2255,6020,1942,61805,35507,1339,2398,2960,72,26298,534,778,1575,159
"Onondaga County, New York: Summary level: 050, state:36> county:067",66231,3801,5490,17709,3895,118358,78757,3786,4825,8131,200,39601,892,1015,2110,171
"Ontario County, New York: Summary level: 050, state:36> county:069",10395,671,782,1905,551,33275,23068,839,1281,1669,65,10207,370,422,352,0
"Orange County, New York: Summary level: 050, state:36> county:071",38415,2267,3729,10993,1913,86212,63930,5547,6981,11707,397,22282,643,1782,2427,116
"Oswego County, New York: Summary level: 050, state:36> county:075",11438,834,1471,2735,1289,33342,20812,1310,1397,2426,25,12530,331,143,1562,56
"Putnam County, New York: Summary level: 050, state:36> county:079",5303,306,368,1671,594,29424,21144,888,2078,5107,201,8280,505,543,1028,0
"Queens County, New York: Summary level: 050, state:36> county:081",433723,27323,39838,129350,20708,338609,213078,13829,21915,61699,1136,125531,4447,6345,14193,1868
"Rensselaer County, New York: Summary level: 050, state:36> county:083",23198,1224,1958,5850,1073,42021,27331,1435,1478,4478,95,14690,259,374,806,147
"Richmond County, New York: Summary level: 050, state:36> county:085",49771,2351,4811,13986,5011,114045,81794,6157,7474,17930,700,32251,818,1931,3544,237
"Rockland County, New York: Summary level: 050, state:36> county:087",29935,1971,2395,8732,2175,68272,46828,3689,5039,9430,0,21444,625,977,2871,240
"St. Lawrence County, New York: Summary level: 050, state:36> county:089",12753,747,727,3055,1168,30370,16531,653,1090,1723,0,13839,184,603,1006,0
"Saratoga County, New York: Summary level: 050, state:36> county:091",26219,1903,2040,5364,1348,64226,43012,2531,3045,3880,0,21214,499,596,1303,139
"Schenectady County, New York: Summary level: 050, state:36> county:093",18282,820,1757,3824,2021,40491,26566,1697,1907,2642,46,13925,426,522,1036,0
"Steuben County, New York: Summary level: 050, state:36> county:101",11470,377,966,2362,1279,29582,15720,612,621,1784,14,13862,272,173,427,198
"Suffolk County, New York: Summary level: 050, state:36> county:103",102533,8119,9902,27954,6808,393733,277336,20675,28632,60439,1033,116397,4635,8536,14973,1354
"Sullivan County, New York: Summary level: 050, state:36> county:105",11583,492,677,3702,1280,20016,10496,775,1085,2380,0,9520,106,485,871,0
"Tompkins County, New York: Summary level: 050, state:36> county:109",16629,857,1121,4861,1089,21183,12336,568,791,1102,49,8847,217,286,384,77
"Ulster County, New York: Summary level: 050, state:36> county:111",21014,1876,1188,6052,1472,47567,31720,2677,2555,6159,99,15847,508,899,2373,377
"Warren County, New York: Summary level: 050, state:36> county:113",8816,303,864,2090,417,19993,13615,761,962,1603,0,6378,209,294,133,0
"Wayne County, New York: Summary level: 050, state:36> county:117",8667,535,876,1339,459,27936,18896,962,867,1438,0,9040,174,267,432,118
"Westchester County, New York: Summary level: 050, state:36> county:119",126837,7054,12792,33769,5399,217638,150553,9817,13402,33023,356,67085,2975,3394,10516,531
