,Total renters:,Rent as % of HHI:!!35.0 to 39.9 percent,Rent as % of HHI:!!40.0 to 49.9 percent,Rent as % of HHI:!!50.0 percent or more,Not computed,Total owners:,Housing units with a mortgage:,Housing units with a mortgage:!!35.0 to 39.9 percent,Housing units with a mortgage:!!40.0 to 49.9 percent,Housing units with a mortgage:!!50.0 percent or more,Housing units with a mortgage:!!Not computed,Housing units without a mortgage:,Housing units without a mortgage:!!35.0 to 39.9 percent,Housing units without a mortgage:!!40.0 to 49.9 percent,Housing units without a mortgage:!!50.0 percent or more,Housing units without a mortgage:!!Not computed
"Malverne village, New York: Summary level: 160, state:36> place:44787",101,22,0,11,33,3007,1811,117,193,340,0,1196,53,41,133,0
"Plandome village, New York: Summary level: 160, state:36> place:58475",3,0,0,0,3,392,210,10,10,50,0,182,4,7,19,0
"New Square village, New York: Summary level: 160, state:36> place:50705",1230,59,69,809,32,201,164,0,12,114,0,37,12,13,0,0
"South Nyack village, New York: Summary level: 160, state:36> place:69441",449,62,28,84,0,714,437,48,18,71,0,277,0,0,114,0
"Viola CDP, New York: Summary level: 160, state:36> place:77574",838,66,85,308,90,891,363,26,84,42,0,528,21,4,70,0
"Gouverneur village, New York: Summary level: 160, state:36> place:29597",857,88,11,297,15,864,497,61,17,22,0,367,0,31,12,0
"Rensselaer Falls village, New York: Summary level: 160, state:36> place:61159",24,0,0,11,7,103,66,0,9,0,0,37,0,0,2,0
"Newark village, New York: Summary level: 160, state:36> place:49891",1711,121,156,540,30,2105,1434,48,93,97,0,671,0,17,0,0
"Elmira city, New York: Summary level: 160, state:36> place:24229",5434,396,406,1659,296,4497,2788,252,75,184,35,1709,44,49,131,18
"Van Etten village, New York: Summary level: 160, state:36> place:76881",58,13,3,2,0,151,113,3,2,16,0,38,0,0,2,0
"West Elmira CDP, New York: Summary level: 160, state:36> place:79785",254,17,0,112,0,1950,1316,17,103,128,0,634,0,0,35,8
"Mount Morris village, New York: Summary level: 160, state:36> place:48945",492,64,38,141,35,732,381,0,2,64,0,351,13,13,39,11
"Corfu village, New York: Summary level: 160, state:36> place:18201",96,2,3,24,10,213,119,3,2,10,0,94,4,2,5,2
"Sodus village, New York: Summary level: 160, state:36> place:68209",278,0,44,54,21,416,280,15,9,32,11,136,0,5,3,3
"Ogdensburg city, New York: Summary level: 160, state:36> place:54485",1498,207,111,335,110,2531,1347,41,87,155,0,1184,25,47,67,13
"Waddington village, New York: Summary level: 160, state:36> place:77728",155,15,18,50,11,295,132,7,0,10,0,163,9,0,14,0
"Clyde village, New York: Summary level: 160, state:36> place:16573",217,5,23,28,7,529,296,10,16,22,3,233,11,0,10,0
