,Median value (dollars),Total homes
"Alden village, New York: Summary level: 160, state:36> place:01088",128800,1217
"Alexander village, New York: Summary level: 160, state:36> place:01154",98200,214
"Alexandria Bay village, New York: Summary level: 160, state:36> place:01187",99100,693
"Alfred village, New York: Summary level: 160, state:36> place:01198",114100,550
"Allegany village, New York: Summary level: 160, state:36> place:01286",105000,823
"Almond village, New York: Summary level: 160, state:36> place:01440",63200,234
"Altamont village, New York: Summary level: 160, state:36> place:01517",248500,720
"Altmar village, New York: Summary level: 160, state:36> place:01550",80500,171
"Altona CDP, New York: Summary level: 160, state:36> place:01572",82700,164
"Amagansett CDP, New York: Summary level: 160, state:36> place:01594",1000001,1754
"Amenia CDP, New York: Summary level: 160, state:36> place:01682",187500,452
"Ames village, New York: Summary level: 160, state:36> place:01737",90000,75
"Amityville village, New York: Summary level: 160, state:36> place:02044",379800,3956
"Amsterdam city, New York: Summary level: 160, state:36> place:02066",96500,9562
"Andes CDP, New York: Summary level: 160, state:36> place:02121",166300,190
"Andover village, New York: Summary level: 160, state:36> place:02143",54900,412
"Angelica village, New York: Summary level: 160, state:36> place:02176",78100,444
"Angola village, New York: Summary level: 160, state:36> place:02198",101100,868
"Angola on the Lake CDP, New York: Summary level: 160, state:36> place:02220",84400,771
"Antwerp village, New York: Summary level: 160, state:36> place:02286",100000,268
"Apalachin CDP, New York: Summary level: 160, state:36> place:02308",96100,535
"Aquebogue CDP, New York: Summary level: 160, state:36> place:02374",423200,1234
"Arcade village, New York: Summary level: 160, state:36> place:02407",98800,998
"Ardsley village, New York: Summary level: 160, state:36> place:02506",642400,1560
"Argyle village, New York: Summary level: 160, state:36> place:02550",111900,172
"Arkport village, New York: Summary level: 160, state:36> place:02583",79900,399
"Arlington CDP, New York: Summary level: 160, state:36> place:02616",239700,1506
"Armonk CDP, New York: Summary level: 160, state:36> place:02649",903400,1479
"Asharoken village, New York: Summary level: 160, state:36> place:02737",1000001,271
"Athens village, New York: Summary level: 160, state:36> place:02902",174400,832
"Atlantic Beach village, New York: Summary level: 160, state:36> place:02968",721500,897
"Attica village, New York: Summary level: 160, state:36> place:03001",94800,1198
"Auburn city, New York: Summary level: 160, state:36> place:03078",96300,12307
"Aurora village, New York: Summary level: 160, state:36> place:03188",175000,227
"Au Sable Forks CDP, New York: Summary level: 160, state:36> place:03254",112100,241
"Averill Park CDP, New York: Summary level: 160, state:36> place:03320",188200,788
"Avoca village, New York: Summary level: 160, state:36> place:03331",64300,393
"Avon village, New York: Summary level: 160, state:36> place:03353",143400,1427
"Babylon village, New York: Summary level: 160, state:36> place:03408",442900,4673
"Bainbridge village, New York: Summary level: 160, state:36> place:04033",86100,643
"Baiting Hollow CDP, New York: Summary level: 160, state:36> place:04055",390600,1227
"Baldwin CDP, New York: Summary level: 160, state:36> place:04143",362500,8064
"Baldwin Harbor CDP, New York: Summary level: 160, state:36> place:04154",404100,2781
"Baldwinsville village, New York: Summary level: 160, state:36> place:04198",115800,3442
"Ballston Spa village, New York: Summary level: 160, state:36> place:04253",196900,2663
"Balmville CDP, New York: Summary level: 160, state:36> place:04286",292100,1201
"Bardonia CDP, New York: Summary level: 160, state:36> place:04396",525700,1407
"Barker village, New York: Summary level: 160, state:36> place:04440",89000,233
"Barneveld village, New York: Summary level: 160, state:36> place:04528",107800,110
"Barnum Island CDP, New York: Summary level: 160, state:36> place:04550",482200,873
"Batavia city, New York: Summary level: 160, state:36> place:04715",90800,6944
"Bath village, New York: Summary level: 160, state:36> place:04759",75900,3118
"Baxter Estates village, New York: Summary level: 160, state:36> place:04803",730900,385
"Bay Park CDP, New York: Summary level: 160, state:36> place:04891",392700,747
"Bayport CDP, New York: Summary level: 160, state:36> place:04913",445300,3455
"Bay Shore CDP, New York: Summary level: 160, state:36> place:04935",328200,10003
"Bayville village, New York: Summary level: 160, state:36> place:05034",565900,2652
"Baywood CDP, New York: Summary level: 160, state:36> place:05039",320200,2323
"Beacon city, New York: Summary level: 160, state:36> place:05100",246300,5894
"Beaver Dam Lake CDP, New York: Summary level: 160, state:36> place:05188",279800,841
"Bedford CDP, New York: Summary level: 160, state:36> place:05309",887800,772
"Bedford Hills CDP, New York: Summary level: 160, state:36> place:05342",477600,1250
"Belfast CDP, New York: Summary level: 160, state:36> place:05562",53400,460
"Bellerose village, New York: Summary level: 160, state:36> place:05639",568600,397
"Bellerose Terrace CDP, New York: Summary level: 160, state:36> place:05661",388600,587
"Belle Terre village, New York: Summary level: 160, state:36> place:05672",871500,325
"Belleville CDP, New York: Summary level: 160, state:36> place:05683",106300,88
"Bellmore CDP, New York: Summary level: 160, state:36> place:05738",469000,5669
"Bellport village, New York: Summary level: 160, state:36> place:05771",425000,1187
"Belmont village, New York: Summary level: 160, state:36> place:05815",64800,489
"Bemus Point village, New York: Summary level: 160, state:36> place:05848",197100,253
"Bergen village, New York: Summary level: 160, state:36> place:06046",106600,521
"Bethpage CDP, New York: Summary level: 160, state:36> place:06387",430900,6052
"Big Flats CDP, New York: Summary level: 160, state:36> place:06464",143100,2375
"Billington Heights CDP, New York: Summary level: 160, state:36> place:06574",234600,625
"Binghamton city, New York: Summary level: 160, state:36> place:06607",85100,23653
"Binghamton University CDP, New York: Summary level: 160, state:36> place:06644",-666666666,0
"Black River village, New York: Summary level: 160, state:36> place:06794",175800,642
"Blasdell village, New York: Summary level: 160, state:36> place:06849",93700,1249
"Blauvelt CDP, New York: Summary level: 160, state:36> place:06860",492800,1755
"Bliss CDP, New York: Summary level: 160, state:36> place:06904",65600,282
"Blodgett Mills CDP, New York: Summary level: 160, state:36> place:06937",82100,126
"Bloomfield village, New York: Summary level: 160, state:36> place:06945",132700,635
"Bloomingburg village, New York: Summary level: 160, state:36> place:06959",208900,263
"Bloomville CDP, New York: Summary level: 160, state:36> place:07025",96100,102
"Blue Point CDP, New York: Summary level: 160, state:36> place:07069",396300,1725
"Bohemia CDP, New York: Summary level: 160, state:36> place:07157",409100,3664
"Bolivar village, New York: Summary level: 160, state:36> place:07190",64800,552
"Bolton Landing CDP, New York: Summary level: 160, state:36> place:07245",243200,536
"Boonville village, New York: Summary level: 160, state:36> place:07355",85700,936
"Brasher Falls CDP, New York: Summary level: 160, state:36> place:07960",69800,286
"Breesport CDP, New York: Summary level: 160, state:36> place:08004",124400,237
"Brentwood CDP, New York: Summary level: 160, state:36> place:08026",289600,14783
"Brewerton CDP, New York: Summary level: 160, state:36> place:08059",129200,1898
"Brewster village, New York: Summary level: 160, state:36> place:08070",286800,974
"Brewster Hill CDP, New York: Summary level: 160, state:36> place:08092",325600,625
"Briarcliff Manor village, New York: Summary level: 160, state:36> place:08103",694900,2763
"Bridgehampton CDP, New York: Summary level: 160, state:36> place:08136",1000001,2395
"Bridgeport CDP, New York: Summary level: 160, state:36> place:08147",82700,673
"Bridgewater village, New York: Summary level: 160, state:36> place:08169",45000,216
"Brighton CDP, New York: Summary level: 160, state:36> place:08257",170500,16624
"Brightwaters village, New York: Summary level: 160, state:36> place:08323",520700,1076
"Brinckerhoff CDP, New York: Summary level: 160, state:36> place:08334",293300,997
"Broadalbin village, New York: Summary level: 160, state:36> place:08422",135300,762
"Brockport village, New York: Summary level: 160, state:36> place:08466",115400,2784
"Brocton village, New York: Summary level: 160, state:36> place:08488",73100,711
