,Median value (dollars),Total homes
"Albany County, New York: Summary level: 050, state:36> county:001",208200,138229
"Bronx County, New York: Summary level: 050, state:36> county:005",359100,522161
"Broome County, New York: Summary level: 050, state:36> county:007",114200,89811
"Cattaraugus County, New York: Summary level: 050, state:36> county:009",85400,40957
"Cayuga County, New York: Summary level: 050, state:36> county:011",111700,36394
"Chautauqua County, New York: Summary level: 050, state:36> county:013",83500,66661
"Chemung County, New York: Summary level: 050, state:36> county:015",111800,38380
"Clinton County, New York: Summary level: 050, state:36> county:019",130200,35939
"Dutchess County, New York: Summary level: 050, state:36> county:027",270900,119108
"Erie County, New York: Summary level: 050, state:36> county:029",131800,421172
"Jefferson County, New York: Summary level: 050, state:36> county:045",147900,58780
"Kings County, New York: Summary level: 050, state:36> county:047",574800,1022569
"Livingston County, New York: Summary level: 050, state:36> county:051",117000,27309
"Madison County, New York: Summary level: 050, state:36> county:053",119700,31770
"Monroe County, New York: Summary level: 050, state:36> county:055",137600,323252
"Nassau County, New York: Summary level: 050, state:36> county:059",443200,466973
"New York County, New York: Summary level: 050, state:36> county:061",888500,867643
"Niagara County, New York: Summary level: 050, state:36> county:063",105500,99197
"Oneida County, New York: Summary level: 050, state:36> county:065",116000,103967
"Onondaga County, New York: Summary level: 050, state:36> county:067",135800,204458
"Ontario County, New York: Summary level: 050, state:36> county:069",149800,49614
"Orange County, New York: Summary level: 050, state:36> county:071",254700,139651
"Oswego County, New York: Summary level: 050, state:36> county:075",96000,53702
"Putnam County, New York: Summary level: 050, state:36> county:079",353600,38319
"Queens County, New York: Summary level: 050, state:36> county:081",447300,847773
"Rensselaer County, New York: Summary level: 050, state:36> county:083",180800,71818
"Richmond County, New York: Summary level: 050, state:36> county:085",441000,178596
"Rockland County, New York: Summary level: 050, state:36> county:087",414500,104524
"St. Lawrence County, New York: Summary level: 050, state:36> county:089",89200,52240
"Saratoga County, New York: Summary level: 050, state:36> county:091",238000,101832
"Schenectady County, New York: Summary level: 050, state:36> county:093",161700,68126
"Steuben County, New York: Summary level: 050, state:36> county:101",98100,48839
"Suffolk County, New York: Summary level: 050, state:36> county:103",368800,570465
"Sullivan County, New York: Summary level: 050, state:36> county:105",161700,49627
"Tompkins County, New York: Summary level: 050, state:36> county:109",182100,42087
"Ulster County, New York: Summary level: 050, state:36> county:111",217100,83713
"Warren County, New York: Summary level: 050, state:36> county:113",197100,38999
"Wayne County, New York: Summary level: 050, state:36> county:117",117100,41342
"Westchester County, New York: Summary level: 050, state:36> county:119",501100,369881
