,Median gross rent,Median INC adjusted to year,Per capita income adjusted to year,Total,"Less than $10,000","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $24,999","$25,000 to $29,999","$30,000 to $34,999","$35,000 to $39,999","$40,000 to $44,999","$45,000 to $49,999","$50,000 to $59,999","$60,000 to $74,999","$75,000 to $99,999","$100,000 to $124,999","$125,000 to $149,999","$150,000 to $199,999","$200,000 or more"
"Alden village, New York: Summary level: 160, state:36> place:01088",674,49435,26499.0,1142,88,77,36,122,44,34,25,64,95,129,93,134,116,36,33,16
"Alexander village, New York: Summary level: 160, state:36> place:01154",822,55500,23316.0,198,8,4,14,14,12,5,13,3,4,37,20,21,24,5,11,3
"Alexandria Bay village, New York: Summary level: 160, state:36> place:01187",714,37232,24172.0,466,29,26,42,44,31,36,30,42,16,17,55,33,42,15,8,0
"Alfred village, New York: Summary level: 160, state:36> place:01198",750,19375,7471.0,423,115,45,55,11,3,18,7,11,14,11,33,32,25,24,11,8
"Allegany village, New York: Summary level: 160, state:36> place:01286",566,42102,25354.0,727,64,32,26,46,86,47,44,29,43,47,75,67,64,36,9,12
"Almond village, New York: Summary level: 160, state:36> place:01440",563,48281,21629.0,197,16,9,8,18,12,3,9,12,17,14,25,36,4,9,1,4
"Altamont village, New York: Summary level: 160, state:36> place:01517",841,79643,38039.0,644,14,42,29,19,22,25,23,12,47,42,31,89,103,48,53,45
"Altmar village, New York: Summary level: 160, state:36> place:01550",590,25556,14067.0,136,25,14,3,24,12,7,11,0,9,6,7,8,8,0,2,0
"Altona CDP, New York: Summary level: 160, state:36> place:01572",382,33875,6284.0,129,5,25,12,13,0,14,0,32,6,5,17,0,0,0,0,0
"Amagansett CDP, New York: Summary level: 160, state:36> place:01594",1491,76894,59327.0,430,15,32,21,24,9,14,24,8,3,11,29,71,26,21,25,97
"Amenia CDP, New York: Summary level: 160, state:36> place:01682",1012,45250,22969.0,408,40,16,0,0,11,68,45,23,10,32,30,42,9,13,61,8
"Ames village, New York: Summary level: 160, state:36> place:01737",856,72500,30836.0,70,0,4,2,3,2,4,3,0,0,13,5,12,5,16,0,1
"Amityville village, New York: Summary level: 160, state:36> place:02044",1358,80345,37159.0,3480,152,142,175,40,42,215,203,170,142,92,265,444,456,258,399,285
"Amsterdam city, New York: Summary level: 160, state:36> place:02066",725,37823,22307.0,7787,879,844,559,450,529,431,333,495,240,791,563,749,324,281,229,90
"Andes CDP, New York: Summary level: 160, state:36> place:02121",924,62750,26981.0,99,0,0,3,11,0,12,21,0,0,2,14,26,0,6,4,0
"Andover village, New York: Summary level: 160, state:36> place:02143",664,45833,23053.0,366,28,15,22,32,50,6,9,15,25,30,51,42,22,10,0,9
"Angelica village, New York: Summary level: 160, state:36> place:02176",566,42292,21637.0,391,17,19,21,28,38,35,32,16,15,34,54,47,17,3,6,9
"Angola village, New York: Summary level: 160, state:36> place:02198",544,56964,25518.0,771,78,68,44,41,5,37,15,20,21,62,131,104,110,14,8,13
"Angola on the Lake CDP, New York: Summary level: 160, state:36> place:02220",806,39405,26955.0,642,28,59,60,51,42,57,29,12,0,37,49,122,63,20,0,13
"Antwerp village, New York: Summary level: 160, state:36> place:02286",738,50938,19279.0,197,6,10,14,11,14,15,10,13,1,19,47,24,7,6,0,0
"Apalachin CDP, New York: Summary level: 160, state:36> place:02308",675,51151,21458.0,503,21,13,12,51,8,7,39,59,24,68,77,46,21,42,8,7
"Aquebogue CDP, New York: Summary level: 160, state:36> place:02374",1577,64529,30277.0,863,79,50,24,0,0,0,122,0,70,37,97,120,123,0,101,40
"Arcade village, New York: Summary level: 160, state:36> place:02407",565,39931,22257.0,871,81,60,71,61,81,58,24,23,72,42,112,113,31,21,15,6
"Ardsley village, New York: Summary level: 160, state:36> place:02506",1693,126667,58245.0,1538,0,24,61,86,24,35,43,9,19,95,52,213,88,94,309,386
"Argyle village, New York: Summary level: 160, state:36> place:02550",683,42188,23542.0,133,8,18,13,17,3,2,2,7,5,12,12,13,13,5,2,1
"Arkport village, New York: Summary level: 160, state:36> place:02583",706,50694,22535.0,368,9,27,13,22,14,32,15,23,24,54,34,57,26,12,6,0
"Arlington CDP, New York: Summary level: 160, state:36> place:02616",1078,41679,21123.0,1439,113,229,107,18,70,56,56,135,36,78,73,203,105,71,78,11
"Armonk CDP, New York: Summary level: 160, state:36> place:02649",1871,155223,94081.0,1351,36,0,0,21,26,38,25,0,9,107,105,95,115,88,83,603
"Asharoken village, New York: Summary level: 160, state:36> place:02737",2001,135833,77298.0,224,2,6,3,14,0,0,8,2,5,5,8,34,24,16,23,74
"Athens village, New York: Summary level: 160, state:36> place:02902",848,50962,27469.0,634,14,37,51,26,33,37,25,57,32,70,75,85,38,21,25,8
"Atlantic Beach village, New York: Summary level: 160, state:36> place:02968",1719,103958,81740.0,696,51,0,11,7,5,25,19,0,25,70,59,63,71,79,58,153
"Attica village, New York: Summary level: 160, state:36> place:03001",591,57887,25555.0,1105,59,66,31,51,58,75,82,26,39,101,173,172,66,62,44,0
"Auburn city, New York: Summary level: 160, state:36> place:03078",639,38527,20546.0,11248,1249,815,984,826,737,628,537,658,434,979,866,1315,608,291,253,68
"Aurora village, New York: Summary level: 160, state:36> place:03188",756,71250,23198.0,164,4,0,6,0,3,12,11,15,0,5,36,32,6,13,8,13
"Au Sable Forks CDP, New York: Summary level: 160, state:36> place:03254",663,43000,25577.0,206,28,25,10,6,13,12,5,12,12,24,9,15,21,6,8,0
"Averill Park CDP, New York: Summary level: 160, state:36> place:03320",1095,75234,34223.0,631,0,20,0,0,50,33,0,52,0,42,117,138,24,73,52,30
"Avoca village, New York: Summary level: 160, state:36> place:03331",681,41500,20645.0,378,29,28,49,15,12,20,21,37,20,33,29,38,17,15,10,5
"Avon village, New York: Summary level: 160, state:36> place:03353",709,57051,28061.0,1360,41,38,79,75,72,32,64,122,27,151,87,293,127,71,60,21
"Babylon village, New York: Summary level: 160, state:36> place:03408",1453,96790,43541.0,4521,195,118,76,93,115,102,85,54,132,231,434,675,588,384,637,602
"Bainbridge village, New York: Summary level: 160, state:36> place:04033",642,44297,24356.0,562,35,28,61,45,27,16,26,52,27,57,65,39,44,16,17,7
"Baiting Hollow CDP, New York: Summary level: 160, state:36> place:04055",-666666666,95847,55487.0,642,7,4,10,14,26,19,34,10,0,60,86,92,87,32,133,28
"Baldwin CDP, New York: Summary level: 160, state:36> place:04143",1599,98350,35569.0,7497,190,164,155,174,136,175,208,257,113,371,668,1222,971,968,977,748
"Baldwin Harbor CDP, New York: Summary level: 160, state:36> place:04154",2001,100698,38979.0,2626,112,38,37,57,57,35,45,64,33,229,225,369,310,331,414,270
"Baldwinsville village, New York: Summary level: 160, state:36> place:04198",723,51577,25872.0,3115,194,265,177,149,212,137,185,64,107,287,385,400,325,111,61,56
"Ballston Spa village, New York: Summary level: 160, state:36> place:04253",908,53935,27729.0,2423,134,143,181,166,170,99,130,85,88,98,469,273,153,125,78,31
"Balmville CDP, New York: Summary level: 160, state:36> place:04286",1250,70395,32280.0,1096,52,46,0,9,24,56,58,41,56,115,107,191,159,60,48,74
"Bardonia CDP, New York: Summary level: 160, state:36> place:04396",619,118472,47007.0,1393,13,19,128,69,58,69,11,40,9,33,58,87,184,115,209,291
"Barker village, New York: Summary level: 160, state:36> place:04440",581,45694,15106.0,219,3,29,4,12,10,15,17,17,11,33,26,31,4,5,2,0
"Barneveld village, New York: Summary level: 160, state:36> place:04528",644,57000,33837.0,106,2,0,0,8,12,10,2,11,1,8,25,1,9,7,9,1
