,Median gross rent,Median INC adjusted to year,Per capita income adjusted to year,Total,"Less than $10,000","$10,000 to $14,999","$15,000 to $19,999","$20,000 to $24,999","$25,000 to $29,999","$30,000 to $34,999","$35,000 to $39,999","$40,000 to $44,999","$45,000 to $49,999","$50,000 to $59,999","$60,000 to $74,999","$75,000 to $99,999","$100,000 to $124,999","$125,000 to $149,999","$150,000 to $199,999","$200,000 or more"
"Albany County, New York: Summary level: 050, state:36> county:001",922,60655,33008,124716,7884,5590,5776,5325,5038,5926,5092,6972,5094,8911,12186,16518,12008,8482,7654,6260
"Bronx County, New York: Summary level: 050, state:36> county:005",1077,33712,18158,492481,80863,45953,39996,31774,26500,25665,26764,24601,16712,35479,38798,42291,23416,13652,11540,8477
"Broome County, New York: Summary level: 050, state:36> county:007",736,46776,24270,78810,8032,4475,4706,3789,4494,4574,3640,4489,3211,7043,7795,8627,6777,3288,2346,1524
"Cattaraugus County, New York: Summary level: 050, state:36> county:009",618,44320,22930,30735,2162,2142,2183,1842,2027,1903,1634,1670,1001,2576,3657,3756,1879,1182,723,398
"Cayuga County, New York: Summary level: 050, state:36> county:011",696,53780,25458,31290,1857,1822,1624,1372,1583,1923,1766,1497,1115,2938,4417,3603,2370,1930,1163,310
"Chautauqua County, New York: Summary level: 050, state:36> county:013",595,41808,22005,52916,4847,4185,4043,3632,2347,3154,2925,3028,2774,3688,5870,6337,3148,1375,769,794
"Chemung County, New York: Summary level: 050, state:36> county:015",778,50232,26159,34617,3337,1655,1753,2046,1484,1831,1678,2202,1225,3096,3397,4129,3229,1068,1303,1184
"Clinton County, New York: Summary level: 050, state:36> county:019",783,53575,24992,31426,2720,1546,1654,1945,1328,1497,1883,1387,862,2538,3675,4604,2380,1473,1391,543
"Dutchess County, New York: Summary level: 050, state:36> county:027",1149,71165,33455,104190,4746,4383,3921,4336,4529,3418,4208,3716,3272,7966,9967,15041,10517,8144,8790,7236
"Erie County, New York: Summary level: 050, state:36> county:029",755,50132,29188,383657,30495,23547,20229,22596,20226,20669,18418,18758,16356,28003,37161,45906,34300,19166,14940,12887
"Jefferson County, New York: Summary level: 050, state:36> county:045",951,51086,24054,43516,3047,2531,1995,1350,2704,2036,2217,3172,2164,3925,6153,5581,2958,1494,1017,1172
"Kings County, New York: Summary level: 050, state:36> county:047",1246,47966,27059,942402,110797,60355,54703,53567,43164,42327,44560,41270,32212,62046,82876,103360,69126,40072,48495,53472
"Livingston County, New York: Summary level: 050, state:36> county:051",722,48456,23455,25334,1535,642,2537,1473,845,2230,1349,967,1457,2657,2030,3336,2193,1038,625,420
"Madison County, New York: Summary level: 050, state:36> county:053",775,51873,26021,25932,1381,803,1010,1459,1672,1559,1638,1142,1836,2666,2610,3577,1818,944,983,834
"Monroe County, New York: Summary level: 050, state:36> county:055",822,51217,29614,298271,20996,14496,15839,18397,16038,16582,15172,14656,13296,23980,29013,36649,24405,14679,13080,10993
"Nassau County, New York: Summary level: 050, state:36> county:059",1674,99035,43556,440168,13805,9979,13069,12416,14399,13117,10318,11819,10362,22248,36784,53441,50137,36922,56467,74885
"New York County, New York: Summary level: 050, state:36> county:061",1531,76089,64618,762228,78800,37040,30569,28106,25473,22908,25941,19156,16624,38274,53864,78392,63093,43544,61122,139322
"Niagara County, New York: Summary level: 050, state:36> county:063",640,49700,26483,86907,7116,5007,5049,4857,5071,4526,3288,4147,4563,7559,10315,11291,5610,4035,2480,1993
"Oneida County, New York: Summary level: 050, state:36> county:065",716,48803,26103,90583,5958,6018,4871,6751,5182,6048,3781,3737,3937,7286,11042,10686,6735,3443,2867,2241
"Onondaga County, New York: Summary level: 050, state:36> county:067",774,52947,28897,185474,14996,10011,9364,8562,10393,8633,9575,7800,8058,15554,19755,22172,14967,10077,7439,8118
"Ontario County, New York: Summary level: 050, state:36> county:069",783,59093,30148,43581,1682,1991,2431,3415,2069,2299,2550,1691,1080,2819,5487,6528,4519,2095,982,1943
"Orange County, New York: Summary level: 050, state:36> county:071",1159,70240,29507,124587,8417,4766,5483,4709,4280,4038,5012,4676,3820,8996,11490,17419,13953,10199,10954,6375
