,Total,Owner occupied,Renter occupied
"Malverne village, New York: Summary level: 160, state:36> place:44787",3108,3007,101
"Plandome village, New York: Summary level: 160, state:36> place:58475",395,392,3
"New Square village, New York: Summary level: 160, state:36> place:50705",1431,201,1230
"South Nyack village, New York: Summary level: 160, state:36> place:69441",1163,714,449
"Viola CDP, New York: Summary level: 160, state:36> place:77574",1729,891,838
"Gouverneur village, New York: Summary level: 160, state:36> place:29597",1721,864,857
"Rensselaer Falls village, New York: Summary level: 160, state:36> place:61159",127,103,24
"Newark village, New York: Summary level: 160, state:36> place:49891",3816,2105,1711
"Elmira city, New York: Summary level: 160, state:36> place:24229",9931,4497,5434
"Van Etten village, New York: Summary level: 160, state:36> place:76881",209,151,58
"West Elmira CDP, New York: Summary level: 160, state:36> place:79785",2204,1950,254
"Mount Morris village, New York: Summary level: 160, state:36> place:48945",1224,732,492
"Corfu village, New York: Summary level: 160, state:36> place:18201",309,213,96
"Sodus village, New York: Summary level: 160, state:36> place:68209",694,416,278
"Ogdensburg city, New York: Summary level: 160, state:36> place:54485",4029,2531,1498
"Waddington village, New York: Summary level: 160, state:36> place:77728",450,295,155
"Clyde village, New York: Summary level: 160, state:36> place:16573",746,529,217
"Big Flats CDP, New York: Summary level: 160, state:36> place:06464",2179,1801,378
"Geneseo village, New York: Summary level: 160, state:36> place:28618",1922,664,1258
"Miller Place CDP, New York: Summary level: 160, state:36> place:47306",3820,3619,201
"Addison village, New York: Summary level: 160, state:36> place:00276",658,482,176
"Hornell city, New York: Summary level: 160, state:36> place:35672",3358,1742,1616
"Riverside village, New York: Summary level: 160, state:36> place:62061",240,187,53
"Cold Spring village, New York: Summary level: 160, state:36> place:16936",871,554,317
"Lake Carmel CDP, New York: Summary level: 160, state:36> place:40398",3069,2688,381
"Putnam Lake CDP, New York: Summary level: 160, state:36> place:60103",1287,1103,184
"Port Byron village, New York: Summary level: 160, state:36> place:59212",408,260,148
"Au Sable Forks CDP, New York: Summary level: 160, state:36> place:03254",170,113,57
"Cumberland Head CDP, New York: Summary level: 160, state:36> place:19408",688,566,122
"Redford CDP, New York: Summary level: 160, state:36> place:60884",141,78,63
"Bemus Point village, New York: Summary level: 160, state:36> place:05848",183,84,99
"Brocton village, New York: Summary level: 160, state:36> place:08488",649,399,250
"Frewsburg CDP, New York: Summary level: 160, state:36> place:27672",728,666,62
"Ripley CDP, New York: Summary level: 160, state:36> place:61874",339,256,83
"Freeville village, New York: Summary level: 160, state:36> place:27529",194,133,61
"Newfield Hamlet CDP, New York: Summary level: 160, state:36> place:50257",280,177,103
"Trumansburg village, New York: Summary level: 160, state:36> place:75506",849,571,278
"Penn Yan village, New York: Summary level: 160, state:36> place:57177",1985,1024,961
"Lewiston village, New York: Summary level: 160, state:36> place:42147",1378,935,443
"South Lockport CDP, New York: Summary level: 160, state:36> place:69386",3255,2342,913
